Date	Tournament	Winning score	Margin of victory	Runner(s)-up
10 Oct 1993	Alfred Dunhill Open	–14 (68-68-66-68=270)	2 strokes	Nick Faldo , Vijay Singh
6 Oct 1996	Linde German Masters	–24 (70-64-67-63=264)	1 stroke	Mark Davis
17 May 1998	Benson & Hedges International Open	–15 (70-69-67-67=273)	3 strokes	Santiago Luna
1 Nov 1998	Volvo Masters	–17 (67-73-68-63=271)	2 strokes	Andrew Coltart
6 Jun 1999	Compass Group English Open	–20 (68-65-67-68=268)	2 strokes	John Bickerton
27 Feb 2000	Andersen Consulting Match Play Championship	4 & 3	4 & 3	Tiger Woods
4 Jun 2000	Compass Group English Open	–13 (70-72-68-65=275)	1 stroke	Michael Campbell , Mark James
8 Jul 2001	Smurfit European Open	–15 (68-68-71-66=273)	3 strokes	Thomas Bjørn , Pádraig Harrington , Ian Woosnam
9 Jun 2002	Compass Group English Open	–17 (65-70-68-68=271)	3 strokes	Søren Hansen
24 Aug 2003	NEC Invitational	–12 (65-70-66-67=268)	4 strokes	Jonathan Kaye
27 Apr 2008	BMW Asian Open 1	–8 (71-69-67-73=280)	1 stroke	Robert-Jan Derksen
24 Aug 2008	KLM Open	–16 (68-64-66-66=264)	4 strokes	Paul McGinley
15 May 2011	Iberdrola Open	–6 (65-70-70-69=274)	3 strokes	David Lynn , Chris Wood
17 Jul 2011	The Open Championship	–5 (68-68-69-70=275)	3 strokes	Dustin Johnson , Phil Mickelson
