Driver	Constructor	Laps	Time/Retired	Grid
Felipe Massa	Ferrari	44	1:22:59.394	2
Nick Heidfeld	BMW Sauber	44	+9.383	5
Lewis Hamilton	McLaren - Mercedes	44	+10.539	1
Fernando Alonso	Renault	44	+14.478	6
Sebastian Vettel	Toro Rosso - Ferrari	44	+14.576	10
Robert Kubica	BMW Sauber	44	+15.037	8
Sébastien Bourdais	Toro Rosso - Ferrari	44	+16.735	9
Mark Webber	Red Bull - Renault	44	+42.776	7
Timo Glock	Toyota	44	+1:07.045	13
Heikki Kovalainen	McLaren - Mercedes	43	Gearbox	3
David Coulthard	Red Bull - Renault	43	+1 Lap	14
Nico Rosberg	Williams - Toyota	43	+1 Lap	15
Adrian Sutil	Force India - Ferrari	43	+1 Lap	18
Kazuki Nakajima	Williams - Toyota	43	+1 Lap	19
Jenson Button	Honda	43	+1 Lap	17
Jarno Trulli	Toyota	43	+1 Lap	11
Giancarlo Fisichella	Force India - Ferrari	43	+1 Lap	20
Kimi Räikkönen	Ferrari	42	Accident	4
Rubens Barrichello	Honda	19	Gearbox	16
Nelson Piquet Jr.	Renault	13	Accident	12
