Country	Preliminaries	Interview	Swimsuit	Evening Gown	Average
California	9.090	9.270	9.437	9.429	9.379
South Carolina	9.057	9.220	9.369	9.516	9.368
Georgia	8.949	9.343	9.217	9.519	9.360
Tennessee	9.212	9.321	9.364	9.330	9.338
Kansas	9.197	9.194	9.297	9.433	9.308
Missouri	9.097	9.143	9.140	9.617	9.300
New Jersey	9.117	9.047	9.329	9.334	9.234
Mississippi	9.042	9.170	9.109	9.127	9.135
Pennsylvania	8.940	9.183	9.031	9.163	9.123
Louisiana	9.017	9.118	9.023	9.189	9.110
Florida	8.968	8.891	9.134	9.179	9.068
Indiana	8.964	8.934	9.017	9.236	9.062
