Game	Date	Team	Score	High points	High rebounds	Location Attendance	Record
48	February 3	San Antonio	W 104–96 (OT)	Carmelo Anthony (35)	Nenê (11)	Pepsi Center 18,536	32–16
49	February 4	@ Oklahoma City	W 114–113 (OT)	Carmelo Anthony (32)	Nenê (8)	Ford Center 18,332	33–16
50	February 6	@ Washington	W 124–103 (OT)	Carmelo Anthony (23)	Nenê (10)	Verizon Center 20,173	34–16
51	February 7	@ New Jersey	L 70–114 (OT)	Carmelo Anthony (15)	Nenê (7)	Izod Center 17,697	34–17
52	February 10	@ Miami	W 99–82 (OT)	Chauncey Billups (23)	Kenyon Martin (10)	American Airlines Arena 16,784	35–17
53	February 11	@ Orlando	W 82–73 (OT)	Carmelo Anthony (29)	Carmelo Anthony (8)	Amway Arena 17,461	36–17
54	February 18	@ Philadelphia	W 101–89 (OT)	Carmelo Anthony (26)	Carmelo Anthony (14)	Wachovia Center 15,979	37–17
55	February 20	@ Chicago	L 99–116 (OT)	Chauncey Billups (25)	Carmelo Anthony (8)	United Center 21,970	37–18
56	February 22	@ Milwaukee	L 117–120 (OT)	Carmelo Anthony (33)	Carmelo Anthony (9)	Bradley Center 14,891	37–19
57	February 23	Boston	L 76–114 (OT)	J. R. Smith (19)	Johan Petro (10)	Pepsi Center 19,784	37–20
58	February 25	Atlanta	W 110–109 (OT)	Chauncey Billups (33)	Chris Andersen (12)	Pepsi Center 18,418	38–20
59	February 27	L.A. Lakers	W 90–79 (OT)	Chauncey Billups , J. R. Smith (22)	Carmelo Anthony , Chris Andersen (12)	Pepsi Center 19,920	39–20
