Rank	Title	Year	Region	Director(s)
1	Spring in a Small Town	1948	China	Fei Mu
2	A Better Tomorrow	1986	Hong Kong	John Woo
3	Days of Being Wild	1990	Hong Kong	Wong Kar-wai
4	Yellow Earth	1984	China	Chen Kaige
5	City of Sadness	1989	Taiwan	Hou Hsiao-hsien
6	Long Arm of the Law	1984	Hong Kong	Johnny Mak
7	Dragon Gate Inn	1967	Taiwan	King Hu
8	Boat People	1982	Hong Kong	Ann Hui
9	A Touch of Zen	1971	Taiwan	King Hu
10	Crouching Tiger, Hidden Dragon	2000	China/Hong Kong/Taiwan/USA	Ang Lee
11	Street Angel	1937	China	Yuan Muzhi
12	A Brighter Summer Day	1991	Taiwan	Edward Yang
13	The Private Eyes	1976	Hong Kong	Michael Hui
14	The Mission	1999	Hong Kong	Johnnie To
15	One-Armed Swordsman	1967	Hong Kong	Chang Cheh
16	Fist of Fury	1972	Hong Kong	Lo Wei
17	In the Heat of the Sun	1994	China	Jiang Wen
18	In the Face of Demolition	1953	Hong Kong	Li Tie
19	A Chinese Odyssey	1995	Hong Kong	Jeffery Lau
20	The Arch	1970	Hong Kong	Tang Shu-Shuen
21	Rouge	1987	Hong Kong	Stanley Kwan
22	Chungking Express	1994	Hong Kong	Wong Kar-wai
23	Homecoming	1984	Hong Kong	Yim Ho
24	The Time to Live and the Time to Die	1985	Taiwan	Hou Hsiao-hsien
25	Red Sorghum	1987	China	Zhang Yimou
26	Father and Son	1981	Hong Kong	Allen Fong
27	The Spring River Flows East	1947	China	Cai Chusheng , Zheng Junli
28	Comrades: Almost a Love Story	1996	Hong Kong	Peter Chan
29	The Goddess	1934	China	Wu Yonggang
30	The Big Road	1934	China	Sun Yu
31	The Secret	1979	Hong Kong	Ann Hui
32	Infernal Affairs	2002	Hong Kong	Andrew Lau , Alan Mak
33	Drunken Master	1978	Hong Kong	Yuen Wo Ping
34	The Butterfly Murders	1979	Hong Kong	Tsui Hark
35	Ashes of Time	1994	Hong Kong	Wong Kar-wai
36	Made in Hong Kong	1997	Hong Kong	Fruit Chan
37	Sorrows of the Forbidden City	1948	China	Zhu Shilin
38	The Love Eterne	1963	Hong Kong	Li Han-Hsiang
39	The Story of A Discharged Prisoner	1967	Hong Kong	Lung Kong
40	Zu Warriors	1983	Hong Kong	Tsui Hark
41	The Terrorizers	1986	Taiwan	Edward Yang
42	The Killer	1989	Hong Kong	John Woo
43	Once Upon a Time in China	1991	Hong Kong	Tsui Hark
44	Center Stage	1992	Hong Kong	Stanley Kwan
45	The Story of Qiu Ju	1992	China	Zhang Yimou
46	This Life of Mine	1950	China	Shi Hui
47	Kingdom and the Beauty	1959	Hong Kong	Li Han Hsiang
48	The Winter	1969	Taiwan	Li Han Hsiang
49	An Autumn's Tale	1987	Hong Kong	Mabel Cheung
50	A Chinese Ghost Story	1987	Hong Kong	Ching Siu-Tung
51	The Purple Hairpin	1959	Hong Kong	Li Tie
52	The Orphan	1960	Hong Kong	Lee Sun-Fung
53	Two Stage Sisters	1965	China	Xie Jin
54	City on Fire	1987	Hong Kong	Ringo Lam
55	Farewell My Concubine	1993	Hong Kong/China	Chen Kaige
56	Yi Yi: A One and a Two	2000	Taiwan	Edward Yang
57	Cold Nights	1955	Hong Kong	Lee Sun-fung
58	Po Xiao Shi Fen	1967	Taiwan	Sung Tsu-shou
59	Raining in the Mountain	1979	Taiwan	King Hu
60	Police Story	1985	Hong Kong	Jackie Chan
61	C'est la vie, mon chéri	1993	Hong Kong	Derek Yee
62	The Wedding Banquet	1993	Taiwan	Ang Lee
63	Platform	2000	China	Jia Zhangke
64	The Wild, Wild Rose	1960	Hong Kong	Wang Tian-Lin
65	The Great Devotion	1960	Hong Kong	Chor Yuen
66	My Intimate Partner	1960	Hong Kong	Kim Chun
67	Dangerous Encounters of the First Kind	1980	Hong Kong	Tsui Hark
68	Ah Ying / Ban Bian Ren	1983	Hong Kong	Allen Fong
69	Durian Durian	2000	Hong Kong	Fruit Chan
70	Little Toys	1933	China	Sun Yu
71	Ai Le Zhong Nian	1949	China	Sang Hu
72	The House of 72 Tenants	1973	Hong Kong	Chor Yuen
73	Nomad	1982	Hong Kong	Patrick Tam
74	Dust in the Wind	1986	Taiwan	Hou Hsiao-hsien
75	92 Legendary La Rose Noire	1992	Hong Kong	Jeffrey Lau
76	Shaolin Soccer	2001	Hong Kong	Stephen Chow
77	Song at Midnight	1937	China	Ma-Xu Weibang
78	China Behind	1974	Hong Kong	Tong Shu-Shuen
79	The Spooky Bunch	1980	Hong Kong	Ann Hui
80	Taipei Story	1985	Taiwan	Edward Yang
81	The Blue Kite	1993	China	Tian Zhuangzhuang
82	Long Live the Mistress	1948	China	Sang Hu
83	Mambo Girl	1957	Hong Kong	Yi Wen
84	Feast of a Rich Family	1959	Hong Kong	Lee Sun-Fung , Li Tie , Ng Wui , Lo Ji-Hung
85	Execution in Autumn	1972	Taiwan	Lee Hsing
86	Hibiscus Town	1986	China	Xie Jin
87	God of Gamblers	1989	Hong Kong	Wong Jing
88	As Tears Go By	1988	Hong Kong	Wong Kar-wai
89	Happy Together	1997	Hong Kong	Wong Kar-wai
90	In the Mood for Love	2000	Hong Kong	Wong Kar-wai
91	Myriad of Lights	1948	China	Shen Fu
92	Festival Moon	1953	Hong Kong	Zhu Shilin
93	Parents' Hearts	1955	Hong Kong	Kim Chun
94	Lin Zexu	1959	China	Zheng Junli , Cen Fan
95	Dream of the Red Chamber	1962	China	Cen Fan
96	Digital Master	1983	Hong Kong	Kirk Wong
97	Shanghai Blues	1984	Hong Kong	Tsui Hark
98	The Eight Diagram Pole Fighter	1984	Hong Kong	Liu Chia-Liang
99	The Black Cannon Incident	1985	China	Huang Jianxin
100	Rebels of the Neon God	1992	Taiwan	Tsai Ming-liang
101	In the Hands of a Puppet Master	1993	Taiwan	Hou Hsiao-hsien
102	Summer Snow	1995	Hong Kong	Ann Hui
103	Not One Less	1998	China	Zhang Yimou
