Class	Type	Fleet numbers	Quantity made	Manufacturer	Date made	1958 CIÉ	1958 UTA	Date withdrawn
T	4-4-2T	185–189	5	Beyer, Peacock & Co.	1913	1	4	1959–1964
SG2	0-6-0	180–184	5	Beyer, Peacock & Co.	1915	3	2	1961–1963
S2	4-4-0	190–192	3	Beyer, Peacock & Co.	1915	1	2	1960–65
U	4-4-0	196–200	5	Beyer, Peacock & Co.	1915	3	2	1959–1963
SG3	0-6-0	6–8, 13–14, 20, 47–49, 96–97, 117–118, 201–202	15	Beyer, Peacock & Co.	1920–1921	7	8	1960–1967
T2	4-4-2T	1–5	5	Beyer, Peacock & Co.	1921	2	3	1959–1964
T2	4-4-2T	21, 30, 115–116, 139, 142–144, 147–148	10	Nasmyth, Wilson & Co.	1924	6	4	1958–1963
SG2	0-6-0	15–19	5	Nasmyth, Wilson & Co.	1924–1926	2	3	1959–1965
Crane	0-6-0CT	31	1	Hawthorn Leslie	1928	0	0	1963
T2	4-4-2T	62–66	5	Beyer, Peacock & Co.	1929–1930	3	2	1959–1960
V	4-4-0	83–87	5	Beyer, Peacock & Co.	1932	2	3	1959–1963
