Week	Date	Opponent	Result	Attendance
1	September 6, 1981	New York Jets	W 31–0	79,754
2	September 13, 1981	at Baltimore Colts	W 35–3	44,950
3	September 17, 1981	Philadelphia Eagles	L 20–14	78,331
4	September 27, 1981	at Cincinnati Bengals	L 27–24	46,418
5	October 4, 1981	Baltimore Colts	W 23–17	77,811
6	October 12, 1981	Miami Dolphins	W 31–21	78,576
7	October 18, 1981	at New York Jets	L 33–14	54,607
8	October 25, 1981	Denver Broncos	W 9–7	77,757
9	November 1, 1981	Cleveland Browns	W 22–13	78,266
10	November 9, 1981	at Dallas Cowboys	L 27–14	62,583
11	November 15, 1981	at St. Louis Cardinals	L 24–0	46,214
12	November 22, 1981	New England Patrios	W 20–17	71,593
13	November 29, 1981	Washington Redskins	W 21–14	59,624
14	December 6, 1981	San Diego Chargers	W 28–27	51,488
15	December 13, 1981	at New England Patriots	W 19–10	42,549
16	December 19, 1981	at Miami Dolphins	L 16–6	72,596
