Pick	Player	Nationality	New WNBA Team	Former WNBA Team	College/Country/Team
1	Gordana Grubin (G)	Yugoslavia	Indiana Fever	Los Angeles Sparks	Yugoslavia
2	Edna Campbell (G)	United States	Seattle Storm	Phoenix Mercury	Texas
3	Kate Starbird (G)	United States	Miami Sol	Sacramento Monarchs	Stanford
4	Alisa Burras (F)	United States	Portland Fire	Cleveland Rockers	Louisiana Tech
5	Sonja Henning (G)	United States	Portland Fire	Houston Comets	Stanford
6	Sandy Brondello (G)	United States	Miami Sol	Detroit Shock	Australia
7	Sophia Witherspoon (G)	United States	Seattle Storm	New York Liberty	Florida
8	Stephanie McCarthy (G)	United States	Indiana Fever	Charlotte Sting	Purdue
9	Nyree Roberts (C)	United States	Indiana Fever	Washington Mystics	Old Dominion
10	Angela Aycock (F)	United States	Seattle Storm	Minnesota Lynx	Kansas
11	Debbie Black (G)	United States	Miami Sol	Utah Starzz	St. Joseph's
12	Tari Phillips (C)	United States	Portland Fire	Orlando Miracle	Florida
13	Coquese Washington (G)	United States	Portland Fire	New York Liberty	Notre Dame
14	Sharon Manning (F)	United States	Miami Sol	Charlotte Sting	North Carolina State
15	Nina Bjedov (C)	Yugoslavia	Seattle Storm	Los Angeles Sparks	Yugoslavia
16	Rita Williams (G)	United States	Indiana Fever	Washington Mystics	Connecticut
17	Kara Wolters (C)	United States	Indiana Fever	Houston Comets	Connecticut
18	Toni Foster (F)	United States	Seattle Storm	Phoenix Mercury	Iowa
19	Lesley Brown (F)	United States	Miami Sol	Detroit Shock	Virginia
20	Molly Goodenbour (G)	United States	Portland Fire	Sacramento Monarchs	Stanford
21	Jamila Wideman (G)	United States	Portland Fire	Cleveland Rockers	Stanford
22	Yolando Moore (F)	United States	Miami Sol	Orlando Miracle	Mississippi
23	Charmin Smith (G)	United States	Seattle Storm	Minnesota Lynx	Stanford
24	Chantel Tremitiere (G)	United States	Indiana Fever	Utah Starzz	Auburn
