Name	Championship	League Cup	FA Cup	Total
Dele Adebola Category:Articles with hCards	8	1	0	0 9
Leon McKenzie Category:Articles with hCards	7	0	1	0 8
Stern John Category:Articles with hCards	5	0	1	0 6
Michael Mifsud Category:Articles with hCards	4	0	0	0 4
Michael Doyle Category:Articles with hCards	3	0	0	0 3
Kevin Kyle Category:Articles with hCards	3	0	0	0 3
Jay Tabb Category:Articles with hCards	3	0	0	0 3
Elliott Ward Category:Articles with hCards	3	0	0	0 3
Colin Cameron Category:Articles with hCards	2	0	1	0 3
Chris Birchall Category:Articles with hCards	2	0	0	0 2
Wayne Andrews Category:Articles with hCards	1	0	0	0 1
Stephen Hughes Category:Articles with hCards	1	0	0	0 1
Gary McSheffrey Category:Articles with hCards	1	0	0	0 1
Kevin Thornton Category:Articles with hCards	1	0	0	0 1
Adam Virgo Category:Articles with hCards	1	0	0	0 1
