Place	Player	Country	Score	To par	Money ( $ )
T1	Mike Weir	Canada	70-68-75-68=281	–7	Playoff
T1	Len Mattiace	United States	73-74-69-65=281	–7	Playoff
3	Phil Mickelson	United States	73-70-72-68=283	–5	408,000
4	Jim Furyk	United States	73-72-71-68=284	–4	288,000
5	Jeff Maggert	United States	72-73-66-75=286	–2	240,000
T6	Ernie Els	South Africa	79-66-72-70=287	–1	208,500
T6	Vijay Singh	Fiji	73-71-70-73=287	–1	208,500
T8	Jonathan Byrd	United States	74-71-71-72=288	E	162,000
T8	José María Olazábal	Spain	73-71-71-73=288	E	162,000
T8	Mark O'Meara	United States	76-71-70-71=288	E	162,000
T8	David Toms	United States	71-73-70-74=288	E	162,000
T8	Scott Verplank	United States	76-73-70-69=288	E	162,000
