Date	Opponent	Venue	Result	Attendance
9 August 2003	Kilmarnock	H	4–0	49,108
16 August 2003	Aberdeen	A	3–2	16,348
23 August 2003	Hibernian	H	5–2	49,642
31 August 2003	Dundee United	A	3–1	11,111
13 September 2003	Dunfermline Athletic	H	4–0	49,072
21 September 2003	Heart of Midlothian	A	4–0	14,732
27 September 2003	Dundee	H	3–1	49,548
4 October 2003	Celtic	H	0–1	49,825
19 October 2003	Motherwell	A	1–1	10,824
25 October 2003	Livingston	A	0–0	9,627
1 November 2003	Partick Thistle	H	3–1	49,551
9 November 2003	Kilmarnock	A	3–2	12,204
22 November 2003	Aberdeen	H	3–0	49,962
30 November 2003	Hibernian	A	1–0	11,160
6 December 2003	Dundee United	H	2–1	49,307
14 December 2003	Dunfermline Athletic	A	0–2	8,592
20 December 2003	Hearts	H	2–1	49,592
28 December 2003	Dundee	A	2–0	10,948
3 January 2004	Celtic	A	0–3	59,087
17 January 2004	Motherwell	H	1–0	48,925
24 January 2004	Livingston	H	1–0	48,638
1 February 2004	Partick Thistle	A	1–0	8,220
11 February 2004	Kilmarnock	H	2–0	46,900
14 February 2004	Aberdeen	A	1–1	15,815
21 February 2004	Hibernian	H	3–0	49,698
29 February 2004	Dundee United	A	0–2	10,497
13 March 2004	Hearts	A	1–1	14,598
20 March 2004	Dundee	H	4–0	49,364
23 March 2004	Dunfermline Athletic	H	4–1	47,487
28 March 2004	Celtic	H	1–2	49,909
4 April 2004	Motherwell	A	1–0	8,967
14 April 2004	Livingston	A	1–1	6,096
17 April 2004	Partick Thistle	H	2–0	49,279
24 April 2004	Dundee United	A	3–3	8,339
1 May 2004	Motherwell	H	4–0	47,579
8 May 2004	Celtic	A	0–1	59,180
12 May 2004	Hearts	H	0–1	47,467
16 May 2004	Dunfermline Athletic	A	3–2	6,798
