Publication	Country	Accolade	Year	Rank
Consequence of Sound	US	Top Albums of the 2000s	2009	2
LAS Magazine	US	Albums of the decade	2009	1
Mojo	UK	The 100 Greatest Albums of Our Lifetime 1993-2006	2006	60
NME	UK	The 100 Greatest Albums of the 2000s	2009	7
Paste	US	Top 50 Albums of the 2000s	2009	3
Pitchfork	US	Top 200 Albums of the 2000s	2009	2
Rolling Stone	US	Top 100 Albums of the 2000s	2009	6
Rolling Stone	US	500 Greatest Albums of All Time	2012	151
Slant Magazine	US	Top 250 Albums of the 2000s	2010	4
Spin	US	125 Best Albums of the Past 25 Years	2010	66
Under the Radar	US	Top 200 Albums of the Decade	2009	1
Q	UK	250 Best Albums of Q's Lifetime	2011	19
