Rank	Name	Team	Goals	Appearances	Minutes played
1	Lionel Messi	Barcelona	9	12	982'44"
2	Steven Gerrard	Liverpool	7	8	580'36"
2	Miroslav Klose	Bayern Munich	7	8	680'07"
4	Lisandro López	Porto	6	10	943'11"
5	Emmanuel Adebayor	Arsenal	5	7	627'33"
5	Alessandro Del Piero	Juventus	5	8	688'14"
5	Didier Drogba	Chelsea	5	10	702'31"
5	Robin van Persie	Arsenal	5	8	716'34"
5	Thierry Henry	Barcelona	5	10	717'50"
5	Karim Benzema	Lyon	5	8	731'13"
11	Jádson	Shakhtar Donetsk	4	5	405'48"
11	Danny Koevermans	PSV Eindhoven	4	6	429'16"
11	Joseba Llorente	Villarreal	4	7	436'03"
11	Evangelos Mantzios	Panathinaikos	4	6	540'23"
11	Dimitar Berbatov	Manchester United	4	9	540'53"
11	Alberto Gilardino	Fiorentina	4	6	543'52"
11	Franck Ribéry	Bayern Munich	4	8	743'32"
11	Samuel Eto'o	Barcelona	4	10	810'05"
11	Wayne Rooney	Manchester United	4	13	999'10"
11	Cristiano Ronaldo	Manchester United	4	12	1055'36"
