Pick	Player	Nationality	WNBA Team	School/Club Team
1	Candace Parker	United States	Los Angeles Sparks	Tennessee
2	Sylvia Fowles	United States	Chicago Sky	LSU
3	Candice Wiggins	United States	Minnesota Lynx	Stanford
4	Alexis Hornbuckle	United States	Detroit Shock (from Atl. , via Sea. )	Tennessee
5	Matee Ajavon	United States	Houston Comets	Rutgers
6	Crystal Langhorne	United States	Washington Mystics	Maryland
7	Essence Carson	United States	New York Liberty	Rutgers
8	Tamera Young	United States	Atlanta Dream (from Sea. )	James Madison
9	Amber Holt	United States	Connecticut Sun	Middle Tennessee
10	Laura Harper	United States	Sacramento Monarchs	Maryland
11	Tasha Humphrey	United States	Detroit Shock (from S.A. )	Georgia
12	Ketia Swanier	United States	Connecticut Sun (from Ind. )	Connecticut
13	LaToya Pringle	United States	Phoenix Mercury	North Carolina
14	Erlana Larkins	United States	New York Liberty (from Det. )	North Carolina
