Date	Tournament	Surface	Partner	Opponent in the final	Score
23 June 2002	Montemor-o-Novo	Hard	Carlota Santos	Alberta Brianti & Frederica Piedade	6–4, 6–2
5 August 2002	Pontevedra	Hard	Frederica Piedade	Alberta Brianti & İpek Şenoğlu	6–2, 4–6, 6–2
29 September 2002	Lleida	Clay	Frederica Piedade	Caroline Ann Basu & Aliénor Tricerri	6–7 (5–7) , 6–2, 6–4
25 May 2003	Almeria	Hard	İpek Şenoğlu	Romy Farah & Astrid Waernes	7–5, 5–7, 6–3
3 August 2003	Pontevedra	Hard	Gabriela Velasco Andreu	Veronika Litvinskaya & Elena Poliakova	6–0, 6–1
16 May 2004	Monzón	Hard	Larissa Carvalho	Joana Cortez & Marina Tavares	6–2, 6–4
29 August 2005	Amarante	Hard	Joana Cortez	Flavia Mignola & Gabriela Velasco Andreu	6–2, 6–3
11 October 2005	Bolton	Hard	Daniela Kix	Veronika Chvojková & Claire Peterzan	6–0, 6–2
11 October 2006	Mallorca	Clay	Nuria Sanchez Garcia	Anja Prislan & Laura Siegemund	6–3, 6–1
30 January 2007	Hull	Hard	Claire de Gubernatis	Danielle Brown & Elizabeth Thomas	6–7 (2–7) , 7–5, 6–4
25 February 2007	Portimão	Hard	Nicole Thijssen	Jessica Lehnhoff & Robin Stephenson	6–4, 6–2
26 March 2007	Athens	Hard	Nicole Thijssen	Anna Koumantou & Pemra Özgen	6–2, 6–4
26 May 2007	Fuerteventura	Carpet	Nicole Thijssen	Mariana Duque Marino & Roxane Vaisemberg	6–1, 6–2
9 July 2007	Mont-de-Marsan	Clay	Nina Bratchikova	Joana Cortez & Teliana Pereira	6–3, 7–6 (7–3)
10 August 2007	Coimbra	Hard	Kira Nagy	Magdalena Kiszczyńska & Yanina Wickmayer	6–3, 3–6, 7–5
5 July 2008	Mont-de-Marsan	Clay	İpek Şenoğlu	Melanie Klaffner & Frederica Piedade	6–4, 6–2
27 July 2008	La Coruña	Hard	Nicole Thijssen	Karen Emilia Castiblanco Duarte & Paula Zabala	6–2, 6–2
3 August 2008	Vigo	Hard	Nicole Thijssen	Nina Bratchikova & Frederica Piedade	6–2, 6–4
