City of license/Market	Station	Channel TV ( DT )	Year of affiliation	Owned since
Douglas, Arizona	KFTU-CD (repeater of KFTU-DT)	18 (N/A)	N/A	N/A
Phoenix - Flagstaff	KFPH-DT	13 (13)	2002	2002
Tucson, Arizona	KFTU-DT	3 (36)	2002	2002
Fresno	KTFF-DT	61 (48)	2003	2003
Los Angeles	KFTR-DT ++	46 (29)	2002	2002
Modesto - Sacramento - Stockton	KTFK-DT	64 (26)	2004	2003
San Francisco - Oakland - San Jose	KFSF-DT ++	66 (34)	2002	2002
Denver	KTFD-DT	14 (15)	2005	2002
Miami - Fort Lauderdale	WAMI-DT ++	69 (47)	2002	2002
Tampa - St. Petersburg	WFTT-DT ++	50 (47)	2002	2002
Atlanta	WUVG-DT2 ++	34.2 (48)	2002	2002
Joliet - Chicago	WXFT-DT ++	60 (50)	2002	2002
Boston	WUTF-DT ++	66 (27)	2002	2002
Newark - New York City	WFUT-DT ++	68 (30)	2002	2002
Smithtown - New York City	WFTY-DT ++ (satellite of WFUT-DT)	67 (23)	2002	2002
Albuquerque	KTFQ-DT	14 (22)	2003	2003
Raleigh - Durham	WTNC-LD	26 (40)	N/A	N/A
Austin, Texas	KTFO-CD	31 (36)	2002	2002
Dallas - Fort Worth	KSTR-DT ++	49 (48)	2002	2002
