Date	Venue	Score	Result	Competition
1995-11-24	Mmabatho , South Africa	2-0	2-0	Four Nations Cup
1995-11-26	Johannesburg , South Africa	1-0	2-0	Four Nations Cup
1995-11-26	Johannesburg , South Africa	2-0	2-0	Four Nations Cup
1996-01-31	Johannesburg , South Africa	2-0	3-0	African Nations Cup
1996-06-15	Johannesburg , South Africa	1-0	3-0	World Cup qualifier
1996-06-15	Johannesburg , South Africa	3-0	3-0	World Cup qualifier
1997-10-11	Lens , France	1-0	1-2	Friendly match
1998-05-20	Johannesburg , South Africa	1-1	1-1	Friendly match
1998-06-24	Bordeaux , France	1-0	2-2	FIFA World Cup
1998-06-24	Bordeaux , France	2-2	2-2	FIFA World Cup
1998-10-03	Johannesburg , South Africa	1-0	1-0	African Nations Cup qualifier
1999-02-27	Mabopane , South Africa	3-1	4-1	African Nations Cup qualifier
2000-01-23	Kumasi , Ghana	2-1	3-1	African Nations Cup
2000-01-23	Kumasi , Ghana	3-1	3-1	African Nations Cup
2000-01-27	Kumasi , Ghana	1-0	1-0	African Nations Cup
2000-02-02	Kumasi , Ghana	1-0	1-1	African Nations Cup
2000-02-12	Accra , Ghana	1-0	2-2	African Nations Cup
2000-04-08	Maseru , Lesotho	1-0	2-0	World Cup qualifier
2000-04-23	Bloemfontein , South Africa	1-0	1-0	World Cup qualifier
2000-12-16	Johannesburg , South Africa	1-0	2-1	African Nations Cup qualifier
2001-01-27	Rustenburg , South Africa	1-0	1-0	World Cup qualifier
2001-05-05	Johannesburg , South Africa	1-0	2-1	World Cup qualifier
2001-11-10	Johannesburg , South Africa	1-0	1-0	Nelson Mandela Challenge
2002-11-19	Johannesburg , South Africa	1-0	1-1	Nelson Mandela Challenge
2003-06-22	Polokwane , South Africa	1-0	2-1	African Nations Cup qualifier
2004-07-03	Johannesburg , South Africa	2-0	2-0	World Cup qualifier
2004-11-17	Johannesburg , South Africa	1-0	2-1	Nelson Mandela Challenge
2005-09-07	Bremen , Germany	1-1	2-4	Friendly match
