Year	Competition	Date	Location	Score	Result
1990	Europe Zone Group II, 1st Round	30 March–1 April	Nicosia (CYP)	5–0	Win
1990	Europe Zone Group II, Quarterfinal	4–6 May	Sofia (BUL)	5–0	Win
1990	Europe Zone Group II, Semifinal	15–17 June	Warsaw (POL)	1–4	Loss
1991	Europe Zone Group II, Quarterfinal	3–5 May	Oslo (NOR)	0–5	Loss
1992	Euro/African Zone Group II, 1st Round	1–3 May	Sofia (BUL)	5–0	Win
1992	Euro/African Zone Group II, Quarterfinal	17–19 July	Athens (GRE)	1–4	Loss
1993	Euro/African Zone Group II, 1st Round	30 April–2 May	Sofia (BUL)	3–2	Win
1993	Euro/African Zone Group II, Quarterfinal	16–18 July	Sofia (BUL)	1–4	Loss
1994	Euro/African Zone Group II, 1st Round	29 April–1 May	Sopot (POL)	1–4	Loss
1994	Euro/African Zone Group II, Relegation Play-off	15–18 July	Cairo (EGY)	2–3	Loss
1995	Euro/African Zone Group III, Round Robin	11 May	San Marino (SMR)	3–0	Win
1995	Euro/African Zone Group III, Round Robin	12 May	San Marino (SMR)	3–0	Win
1995	Euro/African Zone Group III, Round Robin	13 May	San Marino (SMR)	1–2	Loss
1995	Euro/African Zone Group III, Round Robin	14 May	San Marino (SMR)	2–0	Win
1996	Euro/African Zone Group III, Round Robin	8 January	Nairobi (KEN)	3–0	Win
1996	Euro/African Zone Group III, Round Robin	9 January	Nairobi (KEN)	3–0	Win
1996	Euro/African Zone Group III, Round Robin	10 January	Nairobi (KEN)	3–0	Win
1996	Euro/African Zone Group III, Round Robin	12 January	Nairobi (KEN)	0–3	Loss
1996	Euro/African Zone Group III, Round Robin	13 January	Nairobi (KEN)	3–0	Win
1996	Euro/African Zone Group III, Round Robin	14 January	Nairobi (KEN)	3–0	Win
1997	Euro/African Zone Group III, Round Robin	21 May	Plovdiv (BUL)	3–0	Win
1997	Euro/African Zone Group III, Round Robin	22 May	Plovdiv (BUL)	3–0	Win
1997	Euro/African Zone Group III, Round Robin	23 May	Plovdiv (BUL)	3–0	Win
1997	Euro/African Zone Group III, Semifinal	24 May	Plovdiv (BUL)	3–0	Win
1997	Euro/African Zone Group III, Final	25 May	Plovdiv (BUL)	3–0	Win
1998	Euro/African Zone Group II, 1st Round	1–3 May	Meknes (MAR)	2–3	Loss
1998	Euro/African Zone Group II, Relegation Play-off	17–19 July	Sofia (BUL)	5–0	Win
1999	Euro/African Zone Group II, 1st Round	30 April–2 May	Plovdiv (BUL)	5–0	Win
1999	Euro/African Zone Group II, Quarterfinal	16–18 July	Budapest (HUN)	1–4	Loss
