Season	Points	Finish	Playoffs	Head Coach
1992–93	64	6th East	Lost in first round	Peter Anholt
1993–94	71	6th East	Lost in first round	Peter Anholt
1994–95	38	9th East	Out of playoffs	Peter Anholt
1995–96	61	4th Central	Lost East Conference semi-final	Rick Carriere
1996–97	89	2nd Central	Lost East Conference final	Rick Carriere
1997–98	59	3rd Central	Lost East Conference quarter-final	Rick Carriere , Doug Hobson
1998–99	73	2nd Central	Lost East Conference semi-final	Terry Simpson
1999–00	73	3rd Central	Lost East Conference quarter-final	Brent Sutter
2000–01	114	1st Central	Won Championship & Memorial Cup	Brent Sutter
2001–02	100	1st Central	Lost final	Brent Sutter
2002–03	105	1st Central	Lost final	Brent Sutter
2003–04	85	2nd Central	Lost Eastern Conference final	Brent Sutter
2004–05	82	4th Central	Lost Eastern Conference quarter-final	Brent Sutter
2005–06	58	5th Central	Out of playoffs	Brent Sutter
2006–07	79	4th Central	Lost Eastern Conference quarter-final	Brent Sutter
2007–08	43	6th Central	Out of playoffs	Brian Sutter
2008–09	60	6th Central	Out of playoffs	Jesse Wallin
2009–10	83	4th Central	Lost Eastern Conference quarter-final	Jesse Wallin
2010–11	104	1st Central	Lost Eastern Conference semi-final	Jesse Wallin
2011–12	70	5th Central	Out of playoffs	Jesse Wallin
2012–13	85	3rd Central	Lost Eastern Conference semi-final	Jesse Wallin , Brent Sutter
2013–14	xx	xx	xx	Brent Sutter
