Townland	Area( acres )	Barony	Civil parish	Poor law union
Abbeystrowry	428	West Carbery (E.D.)	Abbeystrowry	Skibbereen
Acres	403	West Carbery (E.D.)	Dromdaleague	Skibbereen
Acres	99	West Carbery (E.D.)	Kilmacabea	Skibbereen
Adrigool	450	West Carbery (E.D.)	Castlehaven	Skibbereen
Aghadown	211	West Carbery (E.D.)	Aghadown	Skibbereen
Aghillaun	3	West Carbery (E.D.)	Creagh	Skibbereen
Aghills	732	West Carbery (E.D.)	Castlehaven	Skibbereen
Angram	143	West Carbery (E.D.)	Dromdaleague	Skibbereen
Ardagh	211	West Carbery (E.D.)	Aghadown	Skibbereen
Ardagh	271	West Carbery (E.D.)	Myross	Skibbereen
Ardagh North	158	West Carbery (E.D.)	Tullagh	Skibbereen
Ardagh South	68	West Carbery (E.D.)	Tullagh	Skibbereen
Ardagilla	73	West Carbery (E.D.)	Creagh	Skibbereen
Ardgehane	177	West Carbery (E.D.)	Castlehaven	Skibbereen
Ardgort	88	West Carbery (E.D.)	Clear-island	Skibbereen
Ardnagrena	158	West Carbery (E.D.)	Creagh	Skibbereen
Ardnagroghery	90	West Carbery (E.D.)	Aghadown	Skibbereen
Ardra	83	West Carbery (E.D.)	Myross	Skibbereen
Ardraly	475	West Carbery (E.D.)	Aghadown	Skibbereen
Ballinard	230	West Carbery (E.D.)	Tullagh	Skibbereen
Ballinatona	140	West Carbery (E.D.)	Myross	Skibbereen
Ballincolla	352	West Carbery (E.D.)	Myross	Skibbereen
Ballinlough	200	West Carbery (E.D.)	Kilmacabea	Skibbereen
Ballyally	193	West Carbery (E.D.)	Creagh	Skibbereen
Ballycahane	122	West Carbery (E.D.)	Castlehaven	Skibbereen
Ballyieragh North	240	West Carbery (E.D.)	Clear-island	Skibbereen
Ballyieragh South	202	West Carbery (E.D.)	Clear-island	Skibbereen
Ballyisland	101	West Carbery (E.D.)	Creagh	Skibbereen
Ballylinchy	796	West Carbery (E.D.)	Tullagh	Skibbereen
Ballymacrown	663	West Carbery (E.D.)	Tullagh	Skibbereen
Ballyoughtera	156	West Carbery (E.D.)	Creagh	Skibbereen
Ballyriree	434	West Carbery (E.D.)	Kilmacabea	Skibbereen
Baltimore	615	West Carbery (E.D.)	Tullagh	Skibbereen
Barnabah	47	West Carbery (E.D.)	Tullagh	Skibbereen
Barnagowlane	151	West Carbery (E.D.)	Abbeystrowry	Skibbereen
Barnagowlane East	963	West Carbery (E.D.)	Dromdaleague	Skibbereen
Barnagowlane West	817	West Carbery (E.D.)	Dromdaleague	Skibbereen
Barryroe	235	West Carbery (E.D.)	Castlehaven	Skibbereen
Baurgarriff	167	West Carbery (E.D.)	Dromdaleague	Skibbereen
Baurnahulla	746	West Carbery (E.D.)	Dromdaleague	Skibbereen
Bawnfune	148	West Carbery (E.D.)	Kilmacabea	Skibbereen
Bawngare	141	West Carbery (E.D.)	Aghadown	Skibbereen
Bawnishall	385	West Carbery (E.D.)	Castlehaven	Skibbereen
Bawnlahan	183	West Carbery (E.D.)	Castlehaven	Skibbereen
Bawnlahan	411	West Carbery (E.D.)	Myross	Skibbereen
Bawnnagollopy	134	West Carbery (E.D.)	Abbeystrowry	Skibbereen
Bawnnagollopy	53	West Carbery (E.D.)	Castlehaven	Skibbereen
Bawnnahow North	229	West Carbery (E.D.)	Dromdaleague	Skibbereen
Bawnnahow South	207	West Carbery (E.D.)	Dromdaleague	Skibbereen
Bigmarsh	174	West Carbery (E.D.)	Aghadown	Skibbereen
Bluid East	104	West Carbery (E.D.)	Castlehaven	Skibbereen
Bluid West	183	West Carbery (E.D.)	Castlehaven	Skibbereen
Bohernabredagh	113	West Carbery (E.D.)	Dromdaleague	Skibbereen
Boolybane	97	West Carbery (E.D.)	Creagh	Skibbereen
Brade	591	West Carbery (E.D.)	Myross	Skibbereen
Bullock Island	14	West Carbery (E.D.)	Creagh	Skibbereen
Bunlick	123	West Carbery (E.D.)	Creagh	Skibbereen
Cahergal	268	West Carbery (E.D.)	Myross	Skibbereen
Calf Island East	77	West Carbery (E.D.)	Aghadown	Skibbereen
Calf Island Middle	63	West Carbery (E.D.)	Skull	Skull
Cappanabohy	231	West Carbery (E.D.)	Kilmacabea	Skibbereen
Carhoona	42	West Carbery (E.D.)	Clear-island	Skibbereen
Carrigbaun	298	West Carbery (E.D.)	Drinagh	Skibbereen
Carrigeeny	311	West Carbery (E.D.)	Kilmacabea	Skibbereen
Carrigfadda	318	West Carbery (E.D.)	Abbeystrowry	Skibbereen
Carrigillihy	253	West Carbery (E.D.)	Myross	Skibbereen
Carrigtishane	217	West Carbery (E.D.)	Castlehaven	Skibbereen
Cashloura	560	West Carbery (E.D.)	Drinagh	Skibbereen
Castle Island	3	West Carbery (E.D.)	Creagh	Skibbereen
Castledonovan	123	West Carbery (E.D.)	Dromdaleague	Skibbereen
Castlehaven	202	West Carbery (E.D.)	Castlehaven	Skibbereen
Castletownsend	315	West Carbery (E.D.)	Castlehaven	Skibbereen
Ceancullig	687	West Carbery (E.D.)	Dromdaleague	Skibbereen
Clashduff	325	West Carbery (E.D.)	Dromdaleague	Skibbereen
Clodagh	1046	West Carbery (E.D.)	Dromdaleague	Skibbereen
Cloddagh	232	West Carbery (E.D.)	Tullagh	Skibbereen
Cloghboola	143	West Carbery (E.D.)	Abbeystrowry	Skibbereen
Clontaff	121	West Carbery (E.D.)	Myross	Skibbereen
Cloonkeen	374	West Carbery (E.D.)	Kilmacabea	Skibbereen
Collatrum Beg	102	West Carbery (E.D.)	Aghadown	Skibbereen
Collatrum More	173	West Carbery (E.D.)	Aghadown	Skibbereen
Comillane	141	West Carbery (E.D.)	Clear-island	Skibbereen
Cooldurragha	379	West Carbery (E.D.)	Myross	Skibbereen
Coolim	2	West Carbery (E.D.)	Aghadown	Skibbereen
Coomatallin	609	West Carbery (E.D.)	Drinagh	Skibbereen
Coomavarrodig	81	West Carbery (E.D.)	Tullagh	Skibbereen
Coomnageehy	75	West Carbery (E.D.)	Abbeystrowry	Skibbereen
Coornishal	576	West Carbery (E.D.)	Kilmacabea	Skibbereen
Coronea	582	West Carbery (E.D.)	Abbeystrowry	Skibbereen
Creagh	417	West Carbery (E.D.)	Creagh	Skibbereen
Croha East	41	West Carbery (E.D.)	Clear-island	Skibbereen
Croha West	67	West Carbery (E.D.)	Clear-island	Skibbereen
Crosslea	41	West Carbery (E.D.)	Castlehaven	Skibbereen
Cullenagh	860	West Carbery (E.D.)	Castlehaven	Skibbereen
Cummeen	438	West Carbery (E.D.)	Dromdaleague	Skibbereen
Cunnamore	134	West Carbery (E.D.)	Aghadown	Skibbereen
Currabeg	245	West Carbery (E.D.)	Castlehaven	Skibbereen
Currabeg	59	West Carbery (E.D.)	Aghadown	Skibbereen
Curragh	296	West Carbery (E.D.)	Abbeystrowry	Skibbereen
Curraghalicky	317	West Carbery (E.D.)	Drinagh	Skibbereen
Curranashingane	309	West Carbery (E.D.)	Drinagh	Skibbereen
Curravally	111	West Carbery (E.D.)	Creagh	Skibbereen
Deelish	70	West Carbery (E.D.)	Abbeystrowry	Skibbereen
Deelish	788	West Carbery (E.D.)	Dromdaleague	Skibbereen
Derreenacrinnig East	504	West Carbery (E.D.)	Dromdaleague	Skibbereen
Derreenacrinnig West	530	West Carbery (E.D.)	Dromdaleague	Skibbereen
Derreenaspeeg	338	West Carbery (E.D.)	Drinagh	Skibbereen
Derreendangan	212	West Carbery (E.D.)	Abbeystrowry	Skibbereen
Derreennaclough	276	West Carbery (E.D.)	Skull	Skull
Derreennacno	201	West Carbery (E.D.)	Caheragh	Skibbereen
Derryclogh Lower	400	West Carbery (E.D.)	Drinagh	Skibbereen
Derryclogh Upper	605	West Carbery (E.D.)	Drinagh	Skibbereen
Derryduff	187	West Carbery (E.D.)	Dromdaleague	Skibbereen
Derrygereen	293	West Carbery (E.D.)	Creagh	Skibbereen
Derrygoole	114	West Carbery (E.D.)	Abbeystrowry	Skibbereen
Derrylahard	311	West Carbery (E.D.)	Skull	Skull
Derryleigh	264	West Carbery (E.D.)	Castlehaven	Skibbereen
Derrylurga	524	West Carbery (E.D.)	Abbeystrowry	Skibbereen
Derrynagree East	303	West Carbery (E.D.)	Dromdaleague	Skibbereen
Derrynagree East	355	West Carbery (E.D.)	Dromdaleague	Skibbereen
Donegall East	101	West Carbery (E.D.)	Creagh	Skibbereen
Donegall Middle	75	West Carbery (E.D.)	Creagh	Skibbereen
Donegall West	110	West Carbery (E.D.)	Creagh	Skibbereen
Dooneen	271	West Carbery (E.D.)	Castlehaven	Skibbereen
Drishanebeg	336	West Carbery (E.D.)	Abbeystrowry	Skibbereen
Drishanemore	300	West Carbery (E.D.)	Creagh	Skibbereen
Drisheen	239	West Carbery (E.D.)	Aghadown	Skibbereen
Dromadoon	137	West Carbery (E.D.)	Creagh	Skibbereen
Dromasta	449	West Carbery (E.D.)	Dromdaleague	Skibbereen
Dromduvane	192	West Carbery (E.D.)	Dromdaleague	Skibbereen
Dromnacaheragh	108	West Carbery (E.D.)	Aghadown	Skibbereen
Drummig	473	West Carbery (E.D.)	Abbeystrowry	Skibbereen
Fahouragh	114	West Carbery (E.D.)	Castlehaven	Skibbereen
Farranacoush	377	West Carbery (E.D.)	Tullagh	Skibbereen
Farranagilla	102	West Carbery (E.D.)	Castlehaven	Skibbereen
Farranagilla	61	West Carbery (E.D.)	Abbeystrowry	Skibbereen
Farranconnor	114	West Carbery (E.D.)	Castlehaven	Skibbereen
Farrandau	117	West Carbery (E.D.)	Castlehaven	Skibbereen
Farrandeligeen	101	West Carbery (E.D.)	Castlehaven	Skibbereen
Fasagh	133	West Carbery (E.D.)	Aghadown	Skibbereen
Foherlagh	214	West Carbery (E.D.)	Aghadown	Skibbereen
Forenaght	683	West Carbery (E.D.)	Castlehaven	Skibbereen
Garranes North	552	West Carbery (E.D.)	Dromdaleague	Skibbereen
Garranes South	430	West Carbery (E.D.)	Dromdaleague	Skibbereen
Garryglass	488	West Carbery (E.D.)	Drinagh	Skibbereen
Glanaclogha	587	West Carbery (E.D.)	Dromdaleague	Skibbereen
Glandart	385	West Carbery (E.D.)	Dromdaleague	Skibbereen
Glannafeen	259	West Carbery (E.D.)	Tullagh	Skibbereen
Glannageel	110	West Carbery (E.D.)	Castlehaven	Skibbereen
Glasheenaulin	133	West Carbery (E.D.)	Castlehaven	Skibbereen
Glebe	43	West Carbery (E.D.)	Aghadown	Skibbereen
Glebe Marsh	46	West Carbery (E.D.)	Aghadown	Skibbereen
Glen East	108	West Carbery (E.D.)	Clear-island	Skibbereen
Glen Middle	52	West Carbery (E.D.)	Clear-island	Skibbereen
Glen West	65	West Carbery (E.D.)	Clear-island	Skibbereen
Gneeves	38	West Carbery (E.D.)	Aghadown	Skibbereen
Gneeves	89	West Carbery (E.D.)	Tullagh	Skibbereen
Gokane	167	West Carbery (E.D.)	Castlehaven	Skibbereen
Goleenmarsh	69	West Carbery (E.D.)	Aghadown	Skibbereen
Gortacrossig	204	West Carbery (E.D.)	Castlehaven	Skibbereen
Gortadrohid	86	West Carbery (E.D.)	Creagh	Skibbereen
Gortaliscaw	81	West Carbery (E.D.)	Creagh	Skibbereen
Gortbrack	222	West Carbery (E.D.)	Castlehaven	Skibbereen
Gorteenalomane	190	West Carbery (E.D.)	Creagh	Skibbereen
Gortnaclohy	1035	West Carbery (E.D.)	Creagh	Skibbereen
