Date of Issue	Theme	Denomination	Design	Illustration	Quantity	Printing Process	Paper Type	First Day Cover Cancellation
11 January 2010	Definitives: Queen Elizabeth II	Permanent	Gottschalk and Ash Intl	Dept. of Canadian Heritage	Continuous Printing	Lithography in 5 colours	Tullis Russell Coatings	Jasper, AB
12 January 2010	Vancouver Olympics: Vancouver Landscape	57 cents	Tandem Design and VANOC	iStockphoto and John Sinal	2,275,000	Lithography in 6 colours plus varnish	Tullis Russell Coatings	Vancouver, BC
12 January 2010	Vancouver Olympics: Whister – Sea to Sky	57 cents	Tandem Design and VANOC	iStockphoto and John Sinal	2,275,000	Lithography in 6 colours plus varnish	Tullis Russell Coatings	Whistler, BC
1 February 2010	Black History Series: William Hall, VC	57 cents	Lara Minja	Suzanne Duranceau	1,600,000	Lithography in 7 colours plus varnishing	Tullis Russell Coatings	Hantsport, NS
8 February 2010	Roméo LeBlanc Striped Coralroot	57 cents	Dennis Page, Oliver Hill	Christian Nicholson, Adrien Duey	1,500,000	Lithography in 8 colours	Tullis-Russell	Memramcook, New Brunswick
14 February 2010	Canada Stirkes Gold	57 cents	Tandem Design	VANOC	5,000,000	Litho in 6 cols plus varnish	Tullis Russell	Vancouver, BC
3 March 2010	African Violets: Picasso Striped Coralroot	Permanent	Isabelle Toussaint, Design graphique	Isabelle Toussaint, Design graphique	6,500,000	Lithography in 5 colours	Tullis-Russell	Etobicoke, ON
3 March 2010	African Violets: Decelles Avalanche	Permanent	Isabelle Toussaint, Design graphique	Isabelle Toussaint, Design graphique	6,500,000	Lithography in 5 colours	Tullis-Russell	Etobicoke, ON
April 14	Canada-Israel, 60 Yrs of Friendship	1.70	Q30 Design	Yarek Waszul	660,000	Lithography in 4 cols	Tullis Russell	Ottawa
May 4	Canadian Navy: 1910-2010 HMCS Niobe	57 cents	Designwerke Inc.	Photos from Canadian Navy	3,000,000	Litho in 6 cols plus varnish	Tullis	Ottawa
May 4	Canadian Navy: 1910-2010 HMCS Halifax	57 cents	Designwerke Inc.	Photos from Canadian Navy	3,000,000	Litho in 6 cols plus varnish	Tullis	Ottawa
May 13	Marine Life , Sea Otter	57 cents	Martin Morck	Various	2,200,000	Litho in 3 cols and intaglio	Tullis	Victoria
May 13	Marine Life, Harbor Porpoise	57 cents	Martin Morck	Various	2,200,000	Litho in 3 cols and intaglio	Tullis	Victoria
June 18	Rotary International : 100 Years in Canada	57 cents	Xerxes Irani	Beau Lark	2,000,000	Litho in 6 cols plus varnish	Tullis	Montreal
July 2	Art Canada: Prudence Heward	57 cents	Helene L’Heureux	Helene L’Heureux	1,500,000	Litho in 7 colours	Tullis	Montreal
July 5	Roadside Attractions: Coffee Pot	57 cents	Fraser Ross	Bonnie Ross	3,880,000	Litho in 8 cols plus varnish	Tullis	Davidson, SK
July 5	Roadside Attractions: Happy Rock	57 cents	Fraser Ross	Bonnie Ross	3,880,000	Litho in 8 cols plus varnish	Tullis	Davidson, SK
July 5	Roadside Attractions: Puffin	57 cents	Fraser Ross	Bonnie Ross	3,880,000	Litho in 8 cols plus varnish	Tullis	Davidson, SK
July 5	Roadside Attractions: Wawa Goose	57 cents	Fraser Ross	Bonnie Ross	3,880,000	Litho in 8 cols plus varnish	Tullis	Davidson, SK
July 8	Girl Guides : 100 Years in Canada	57 cents	Derwyn Goodall	Derwyn Goodall	3,000,000	Litho in 6 cols plus varnish	Tullis	Guelph, Ontario
August 17	Cupids ( Cupers Cove ): 1610-2010	57 cents	Steven Slipp	Fraser Ross, William Gilbert	1,750,000	Litho in 9 cols	Lowe-Martin	Cupids, NL
September 1	Home Children	57 cents	Debbie Adams	Library and Archives Canada	1,650,000	Litho in 6 cols plus varnish	Tullis	Ottawa, ON
