Model number	Frequency	L2 cache	Multi 1	Voltage	Socket	Release date	Order part number
Turion 64 ML-28	1600MHz	512 KB	8x	1.35	Socket 754	June 22, 2005	TMDML28BKX4LD
Turion 64 ML-30	1600MHz	1024 KB	8x	1.35	Socket 754	March 10, 2005	TMDML30BKX5LD
Turion 64 ML-32	1800MHz	512 KB	9x	1.35	Socket 754	March 10, 2005	TMDML32BKX4LD
Turion 64 ML-34	1800MHz	1024 KB	9x	1.35	Socket 754	March 10, 2005	TMDML34BKX5LD
Turion 64 ML-37	2000MHz	1024 KB	10x	1.35	Socket 754	March 10, 2005	TMDML37BKX5LD
Turion 64 ML-40	2200MHz	1024 KB	11x	1.35	Socket 754	June 22, 2005	TMDML40BKX5LD
Turion 64 ML-42	2400MHz	512 KB	12x	1.35	Socket 754	October 4, 2005	TMDML42BKX4LD
Turion 64 ML-44	2400MHz	1024 KB	12x	1.35	Socket 754	January 4, 2006	TMDML44BKX5LD
Turion 64 MT-28	1600MHz	512 KB	8x	1.2	Socket 754	June 22, 2005	TMSMT28BQX4LD
Turion 64 MT-30	1600MHz	1024 KB	8x	1.2	Socket 754	March 10, 2005	TMSMT30BQX5LD
Turion 64 MT-32	1800MHz	512 KB	9x	1.2	Socket 754	March 10, 2005	TMSMT32BQX4LD
Turion 64 MT-34	1800MHz	1024 KB	9x	1.2	Socket 754	March 10, 2005	TMSMT34BQX5LD
Turion 64 MT-37	2000MHz	1024 KB	10x	1.2	Socket 754	August 8, 2005	TMSMT37BQX5LD
Turion 64 MT-40	2200MHz	1024 KB	11x	1.2	Socket 754	August 8, 2005	TMSMT40BQX5LD
