Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Winner	26 November 1978	Christchurch , New Zealand	Grass	Lesley Hunt	Katja Ebbinghaus Sylvia Hanika	6–1, 7–5
Runner-up	7 January 1979	Washington DC , USA	Carpet	Renée Richards	Mima Jaušovec Virginia Ruzici	6–4, 2–6, 4–6
Winner	28 September 1980	Atlanta , Georgia, USA	Clay	Barbara Potter	Kathy Jordan Anne Smith	6–3, 6–1
Winner	9 November 1980	Hong Kong	Clay	Wendy Turnbull	Penny Johnson Silvana Urroz	6–1, 6–2
Runner-up	14 December 1980	Adelaide , Australia	Grass	Sue Barker	Pam Shriver Betty Stöve	4–6, 3–6
Winner	18 January 1981	Kansas City, Missouri , USA	Carpet	Barbara Potter	Rosie Casals Wendy Turnbull	6–2, 7–6
Runner-up	1 February 1981	Chicago , Illinois, USA	Carpet	Barbara Potter	Martina Navrátilová Pam Shriver	3–6, 1–6
Winner	22 March 1981	Boston , Massachusetts, USA	Carpet	Barbara Potter	JoAnne Russell Virginia Ruzici	6–7, 6–4, 6–3
Runner-up	10 May 1981	Tokyo , Japan	Carpet	Barbara Potter	Sue Barker Ann Kiyomura	5–7, 2–6
Winner	8 November 1981	Hong Kong	Clay	Ann Kiyomura	Anne Hobbs Susan Leo	6–3, 6–4
Winner	22 November 1981	Perth , Australia	Grass	Barbara Potter	Betsy Nagelsen Candy Reynolds	6–4, 6–2
Winner	14 February 1982	Kansas City, Missouri , USA	Carpet	Barbara Potter	Mary-Lou Daniels Anne Smith	4–6, 6–2, 6–2
Runner-up	21 February 1982	Houston , Texas, USA	Carpet	Sue Barker	Kathy Jordan Pam Shriver	6–7, 2–6
Winner	28 February 1982	Oakland , California, USA	Carpet	Barbara Potter	Kathy Jordan Pam Shriver	6–1, 3–6, 7–6
Runner-up	7 March 1982	Los Angeles , California, USA	Carpet	Barbara Potter	Kathy Jordan Anne Smith	3–6, 5–7
Runner-up	25 April 1982	Amelia Island , Florida, USA	Carpet	Barbara Potter	Leslie Allen Mima Jaušovec	1–6, 5–7
Runner-up	22 August 1982	Canadian Open , Canada	Hard	Barbara Potter	Martina Navratilova Candy Reynolds	4–6, 4–6
Winner	29 August 1982	Mahwah, Hawaii, USA	Hard	Barbara Potter	Rosie Casals Wendy Turnbull	6–1, 6–4
Runner-up	12 September 1982	US Open , USA	Hard	Barbara Potter	Rosie Casals Wendy Turnbull	6–1, 6–4
Runner-up	3 October 1982	US Indoors , USA	Carpet	Barbara Potter	Rosie Casals Wendy Turnbull	6–1, 6–4
Winner	10 October 1982	Deerfield Beach , Florida, USA	Hard	Barbara Potter	Rosie Casals Wendy Turnbull	7–6, 7–6
Runner-up	1 November 1982	Brighton , England	Carpet	Barbara Potter	Martina Navrátilová Pam Shriver	6–2, 5–7, 4–6
Winner	6 February 1983	Palm Beach , Florida, USA	Clay	Barbara Potter	Kathy Jordan Paula Smith	6–4, 4–6, 6–2
Winner	3 April 1983	Tokyo , Japan	Carpet	Billie Jean King	Kathy Jordan Anne Smith	6–1, 6–1
Winner	1 May 1983	Atlanta , Georgia, USA	Hard	Alycia Moulton	Rosie Casals Wendy Turnbull	6–3, 7–6
Winner	13 June 1983	Birmingham , England	Grass	Billie Jean King	Beverly Mould Liz Smylie	6–2, 6–4
Winner	28 August 1983	Mahwah, Hawaii, USA	Hard	Jo Durie	Rosalyn Fairbank Candy Reynolds	4–6, 7–5, 6–3
Winner	2 October 1983	US Indoors , USA	Carpet	Billie Jean King	Kathy Jordan Barbara Potter	3–6, 6–3, 6–4
Runner-up	20 November 1983	Brisbane , Australia	Grass	Pam Shriver	Anne Hobbs Wendy Turnbull	3–6, 4–6
Winner	9 January 1984	Washington DC , USA	Carpet	Barbara Potter	Leslie Allen Anne White	6–1, 6–7, 6–2
Runner-up	5 February 1984	Houston , Texas, USA	Carpet	Barbara Potter	Mima Jaušovec Anne White	4–6, 6–3, 6–7
Winner	12 February 1984	Chicago , Illinois, USA	Carpet	Billie Jean King	Barbara Potter Pam Shriver	5–7, 6–3, 6–3
Winner	31 March 1984	Boston , Massachusetts, USA	Carpet	Barbara Potter	Andrea Leand Mary-Lou Daniels	7–6, 6–0
Runner-up	16 April 1984	Hilton Head , South Carolina, USA	Clay	Anne Hobbs	Claudia Kohde-Kilsch Hana Mandlíková	5–7, 2–6
Runner-up	24 September 1984	Fort Lauderdale , Florida, USA	Hard	Barbara Potter	Martina Navrátilová Liz Smylie	6–2, 2–6, 3–6
Runner-up	28 October 1984	Brighton , England	Carpet	Barbara Potter	Alycia Moulton Paula Smith	7–6, 3–6, 5–7
Runner-up	25 November 1984	Sydney , Australia	Grass	Wendy Turnbull	Claudia Kohde-Kilsch Helena Suková	2–6, 6–7
Runner-up	20 January 1985	Denver , Colorado, USA	Carpet	Leslie Allen	Mary-Lou Daniels Robin White	6–1, 4–6, 5–7
Winner	17 March 1985	Dallas , Texas, USA	Carpet	Barbara Potter	Marcella Mesker Pascale Paradis	5–7, 6–4, 7–6
Winner	16 June 1985	Birmingham , England	Grass	Terry Holladay	Elise Burgin Alycia Moulton	6–4, 5–7, 6–3
Winner	19 October 1986	Tokyo , Japan	Hard	Sandy Collins	Susan Mascarin Betsy Nagelsen	6–1, 6–2
Runner-up	26 October 1986	Singapore	Hard	Sandy Collins	Anna-Maria Fernandez Julie Richardson	3–6, 2–6
Runner-up	19 April 1987	Tokyo , Japan	Hard	Sandy Collins	Kathy Jordan Betsy Nagelsen	3–6, 5–7
Runner-up	26 April 1987	Taipei	Carpet	Sandy Collins	Cammy MacGregor Cynthia MacGregor	6–7, 7–5, 4–6
Runner-up	9 August 1987	San Diego, California , USA	Hard	Elise Burgin	Jana Novotná Catherine Suire	3–6, 4–6
