Title	Series	Director	Production Number	Release date
Porky's Last Stand	LT	Bob Clampett	9158	1940-01-06
The Early Worm Gets the Bird	MM	Tex Avery	9103, BR 1318	1940-01-13
Africa Squeaks	LT	Bob Clampett	9160	1940-01-27
Mighty Hunters	MM	Chuck Jones	9363, BR 1314	1940-01-27
Ali-Baba Bound	LT	Bob Clampett	9364	1940-02-10
Busy Bakers	MM	Ben Hardaway Cal Dalton	9153	1940-02-10
Elmer's Candid Camera	MM	Chuck Jones	9371	1940-03-02
Pilgrim Porky	LT	Bob Clampett	9368	1940-03-16
Cross-Country Detours	MM	Tex Avery	9423	1940-03-16
Confederate Honey	MM	Friz Freleng	9365	1940-03-30
Slap-Happy Pappy	LT	Bob Clampett	9370	1940-04-13
The Bear's Tale	MM	Tex Avery	9369, BR 2-13	1940-04-13
The Hardship of Miles Standish	MM	Friz Freleng	9373	1940-04-27
Porky's Poor Fish	LT	Bob Clampett	9372	1940-04-27
Sniffles Takes a Trip	MM	Chuck Jones	9367, BR 1315	1940-05-11
You Ought to Be in Pictures	LT	Friz Freleng	9366	1940-05-18
A Gander at Mother Goose	MM	Tex Avery	9535	1940-05-25
The Chewin' Bruin	LT	Bob Clampett	9534	1940-06-08
Tom Thumb in Trouble	MM	Chuck Jones	9425, BR 1175	1940-06-08
Circus Today	MM	Tex Avery	9593	1940-06-22
Porky's Baseball Broadcast	LT	Friz Freleng	9536	1940-07-06
Little Blabbermouse	MM	Friz Freleng	9159	1940-07-06
The Egg Collector	MM	Chuck Jones	9595	1940-07-20
A Wild Hare	MM	Tex Avery	9617	1940-07-27
Ghost Wanted	MM	Chuck Jones	9537	1940-08-10
Patient Porky	LT	Bob Clampett	9538	1940-08-24
Ceiling Hero	MM	Tex Avery	9561	1940-08-24
Malibu Beach Party	MM	Friz Freleng	9633	1940-09-14
Calling Dr. Porky	LT	Friz Freleng	9616	1940-09-21
Stage Fright	MM	Chuck Jones	9757	1940-09-28 DVD – City for Conquest
Prehistoric Porky	LT	Bob Clampett	9614	1940-10-12
Holiday Highlights	MM	Tex Avery	9637	1940-10-12
Good Night, Elmer	MM	Chuck Jones	9775	1940-10-26
The Sour Puss	LT	Bob Clampett	9634	1940-11-02
Wacky Wildlife	MM	Tex Avery	9759, BR 1316	1940-11-09
Bedtime for Sniffles	MM	Chuck Jones	9635	1940-11-23
Porky's Hired Hand	LT	Friz Freleng	9636	1940-11-30
Of Fox and Hounds	MM	Tex Avery	9771, BR 1362	1940-12-07
The Timid Toreador	LT	Bob Clampett Norm McCabe	9638	1940-12-21
Shop, Look and Listen	MM	Friz Freleng	9639	1940-12-21
