Season	Date	Location	Race	Place
1993	13-Mar-1993	Kvitfjell , Norway	Downhill	2nd
1995	09-Dec-1994	Lake Louise , Canada	Downhill	1st
1995	11-Dec-1994	Lake Louise , Canada	Super G	3rd
1995	14-Jan-1995	Garmisch , Germany	Super G	2nd
1995	20-Jan-1995	Cortina d'Ampezzo , Italy	Downhill	2nd
1995	21-Jan-1995	Cortina d'Ampezzo , Italy	Downhill	1st
1995	17-Feb-1995	Åre , Sweden	Downhill	1st
1995	04-Mar-1995	Saalbach , Austria	Downhill	1st
1995	11-Mar-1995	Lenzerheide , Switzerland	Downhill	1st
1995	15-Mar-1995	Bormio , Italy	Downhill	1st
1996	01-Dec-1995	Lake Louise, Canada	Downhill	1st
1996	16-Dec-1995	St. Anton , Austria	Downhill	3rd
1996	19-Jan-1996	Cortina d'Ampezzo, Italy	Downhill	1st
1996	20-Jan-1996	Cortina d'Ampezzo, Italy	Downhill	2nd
1996	03-Feb-1996	Val-d'Isère , France	Downhill	2nd
1996	29-Feb-1996	Narvik , Norway	Downhill	1st
1996	01-Mar-1996	Narvik , Norway	Downhill	2nd
