Power Plant	Producer	Location	State	Total Capacity (MWe)
Vankusawade Wind Park	Suzlon Energy Ltd .	Satara District .	Maharashtra	259
Cape Comorin	Aban Loyd Chiles Offshore Ltd.	Kanyakumari	Tamil Nadu	33
Kayathar Subhash	Subhash Ltd.	Kayathar	Tamil Nadu	30
Ramakkalmedu	Subhash Ltd.	Ramakkalmedu	Kerala	25
Muppandal Wind	Muppandal Wind Farm	Muppandal	Tamil Nadu	22
Gudimangalam	Gudimangalam Wind Farm	Gudimangalam	Tamil Nadu	21
Puthlur RCI	Wescare (India) Ltd.	Puthlur	Andhra Pradesh	20
Lamda Danida	Danida India Ltd.	Lamba	Gujarat	15
Chennai Mohan	Mohan Breweries & Distilleries Ltd.	Chennai	Tamil Nadu	15
Jamgudrani MP	MP Windfarms Ltd.	Dewas	Madhya Pradesh	14
Jogmatti BSES	BSES Ltd.	Chitradurga District	Karnataka	14
Perungudi Newam	Newam Power Company Ltd.	Perungudi	Tamil Nadu	12
Kethanur Wind Farm	Kethanur Wind Farm	Kethanur	Tamil Nadu	11
Hyderabad APSRTC	Andhra Pradesh State Road Transport Corporation .	Hyderabad	Andhra Pradesh	10
Muppandal Madras	Madras Cements Ltd.	Muppandal	Tamil Nadu	10
Shah Gajendragarh	MMTCL	Gadag	Karnataka	15
Shah Gajendragarh	Sanjay D. Ghodawat	Gadag	Karnataka	10.8
Acciona Tuppadahalli	Tuppadahalli Energy India Private Limited	Chitradurga District	Karnataka	56.1
Poolavadi Chettinad	Chettinad Cement Corp. Ltd.	Poolavadi	Tamil Nadu	10
Shalivahana Wind	Shalivahana Green Energy. Ltd.	Tirupur	Tamil Nadu	20.4
Dangiri Wind Farm	Oil India Ltd.	Jaiselmer	Rajasthan	54
