Year	Class	Team	Points	Rank	Wins
1968	500cc	Matchless	0	–	0
1969	350cc	AJS	0	–	0
1969	500cc	Metisse	3	46th	0
1970	500cc	Matchless	8	23rd	0
1971	350cc	AJS	16	13th	0
1971	500cc	AJS	0	–	0
1972	250cc	Yamaha	10	18th	0
1972	350cc	Honda	0	–	0
1972	500cc	Matchless	0	–	0
1973	250cc	Yamaha	12	17th	0
1973	350cc	Yamaha	10	20th	0
1973	500cc	Matchless	0	–	0
1974	250cc	Yamaha	2	38th	0
1974	350cc	Yamaha	7	29th	0
1974	500cc	Yamaha	18	11th	0
1975	250cc	Yamaha	15	14th	0
1975	350cc	Yamaha	1	47th	0
1975	500cc	Yamaha	32	5th	0
1976	500cc	Suzuki	24	9th	1
1977	350cc	Yamaha	10	22nd	0
1977	500cc	Suzuki	4	26th	0
1978	500cc	Suzuki	0	–	0
