District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Jim Chapman	Democratic	1985	Re-elected	Jim Chapman (D) 62.2% Horace McQueen (R) 37.8%
Texas 3	Steve Bartlett	Republican	1982	Re-elected	Steve Bartlett (R) 81.8% Blake Cowden (D) 18.2%
Texas 8	Jack Fields	Republican	1980	Re-elected	Jack Fields (R) Unopposed
Texas 9	Jack Brooks	Democratic	1952	Re-elected	Jack Brooks (D) Unopposed
Texas 10	J. J. Pickle	Democratic	1963	Re-elected	J. J. Pickle (D) 93.4% Vincent J. May ( L ) 6.6%
Texas 12	Jim Wright	Democratic	1954	Re-elected	Jim Wright (D) Unopposed
Texas 13	Beau Boulter	Republican	1984	Retired to run for U. S. Senate Democratic gain	Bill Sarpalius (D) 52.5% Larry S. Milner (R) 47.5%
Texas 16	Ronald D. Coleman	Democratic	1982	Re-elected	Ronald D. Coleman (D) Unopposed
Texas 17	Charles Stenholm	Democratic	1978	Re-elected	Charles Stenholm (D) Unopposed
Texas 19	Larry Combest	Republican	1984	Re-elected	Larry Combest (R) 67.7% Gerald McCathern (D) 32.3%
Texas 21	Lamar S. Smith	Republican	1986	Re-elected	Lamar S. Smith (R) 93.2% Jim Robinson ( L ) 6.8%
Texas 24	Martin Frost	Democratic	1978	Re-elected	Martin Frost (D) 92.6% Leo Sadovy (R) 7.4%
Texas 26	Dick Armey	Republican	1984	Re-elected	Dick Armey (R) 69.3% Jo Ann Reyes (D) 30.7%
