Squad No	Player	Position	Tries	Goals	Points
1	Kyle Jackson	Full-Back	10	0	40
2	Scott Donald	Wing	17	0	68
3	Clinton Toopi	Centre	0	0	0
4	Keith Senior	Centre	10	0	40
5	Lee Smith	Wing	4	0	16
6	Danny Mcguire	Stand-Off	7	0	28
7	Rob Burrow	Scrum-Half	12	6	60
8	Kylie Leuluai	Prop	3	0	12
9	Matt Diskin	Hooker	4	0	16
10	Jamie Peacock	Prop	2	0	8
11	Jamie Jones-Buchanan	Second-Row	3	0	12
12	Gareth Ellis	Second-Row	2	0	8
13	Kevin Sinfield (C)	Loose-Forward	2	74	156
14	Ali Lauitiiti	Second-Row	4	0	16
16	Ryan Bailey	Prop	0	0	0
17	Nick Scruton	Prop	1	0	4
18	Ian Kirke	Second-Row	1	0	4
19	Carl Ablett	Second-Row	3	0	12
20	Ashley Gibson	Centre	0	0	0
21	Jordan Tansey	Scrum Half	2	0	8
22	Ryan Hall	Wing	3	0	12
23	Danny Williams	Wing	0	0	0
24	Luke Burgess	Prop	3	0	12
25	Danny Allan	Loose Forward	0	0	0
26	Ben Kaye	Hooker	1	0	4
27	Michael Ratu	Centre	0	0	0
28	Simon Worrall	Second Row	1	0	4
29	Luke Gale	Scrum Half	0	0	0
30	Michael Haley	Prop	0	0	0
31	Paul McShane	Hooker	0	0	0
32	Kallum Watkins	Centre	1	0	4
33	Joe Chandler	Prop	0	0	0
34	Ben Jones-Bishop	Full Back	0	0	0
35	Eric Anselme	Second Row	2	0	8
