District	Incumbent	Party	First elected	Result	Candidates
Illinois 3	Marty Russo	Democratic	1974	Re-elected	Marty Russo (D) 65.2% Robert L. Dunne (R) 34.8%
Illinois 4	Ed Derwinski	Republican	1958	Re-elected	Ed Derwinski (R) 66.9% Andrew Thomas (D) 33.1%
Illinois 6	Henry Hyde	Republican	1974	Re-elected	Henry Hyde (R) 66.2% Jeanne P. Quinn (D) 33.8%
Illinois 7	Cardiss Collins	Democratic	1973	Re-elected	Cardiss Collins (D) 86.3% James C. Holt (R) 13.7%
Illinois 10	Abner J. Mikva	Democratic	1974	Re-elected	Abner J. Mikva (D) 50.2% John E. Porter (R) 49.8%
Illinois 11	Frank Annunzio	Democratic	1964	Re-elected	Frank Annunzio (D) 73.7% John Hoeger (R) 26.3%
Illinois 12	Phil Crane	Republican	1969	Re-elected	Phil Crane (R) 79.5% Gilbert Bogen (D) 20.5%
Illinois 15	Tom Corcoran	Republican	1976	Re-elected	Tom Corcoran (R) 62.4% Tim Lee Hall (D) 37.6%
Illinois 19	Tom Railsback	Republican	1966	Re-elected	Tom Railsback (R) Unopposed
Illinois 20	Paul Findley	Republican	1960	Re-elected	Paul Findley (R) 69.6% Victor Roberts (D) 30.4%
Illinois 22	George E. Shipley	Democratic	1958	Retired Republican gain	Dan Crane (R) 54.0% Terry L. Bruce (D) 46.0%
Illinois 23	Melvin Price	Democratic	1944	Re-elected	Melvin Price (D) 74.2% Daniel J. Stack (R) 25.8%
