Week	Date	Opponent	Result	Attendance
1	September 15, 1963	Pittsburgh Steelers	T 21–21	58,205
2	September 22, 1963	St. Louis Cardinals	L 28–24	60,671
3	September 29, 1963	New York Giants	L 37–14	60,671
4	October 6, 1963	Dallas Cowboys	W 24–21	60,671
5	October 13, 1963	at Washington Redskins	W 37–24	49,219
6	October 20, 1963	at Cleveland Browns	L 37–7	75,174
7	October 27, 1963	at Chicago Bears	L 16–7	48,514
8	November 3, 1963	Cleveland Browns	L 23–17	60,671
9	November 10, 1963	at New York Giants	L 42–14	62,936
10	November 17, 1963	at Dallas Cowboys	L 27–20	23,694
11	November 24, 1963	Washington Redskins	L 13–10	60,671
12	December 1, 1963	at Pittsburgh Steelers	T 20–20	16,721
13	December 8, 1963	at St. Louis Cardinals	L 38–14	15,979
14	December 15, 1963	Minnesota Vikings	L 34–13	57,403
