Governorate	Capital City	Area km²	Pop (2004)	Map Key
'Adan	Aden	825	589,419	1
'Amran	'Amran	9,013	877,786	2
Abyan	Zinjibar	20,380	433,819	3
Ad Dali'	Ad Dali'	4,448	470,564	4
Al Bayda'	Al Bayda	10,487	577,369	5
Al Hudaydah	Al Hudaydah	15,407	2,157,552	6
Al Jawf	Al Jawf	46,170	443,797	7
Al Mahrah	Al Ghaydah	78,073	88,594	8
Al Mahwit	Al Mahwit	2,452	494,557	9
Amanat Al Asimah	San'a'	126	1,747,834	10
Dhamar	Dhamar	8,705	1,330,108	11
Hadramaut	Al Mukalla	195,626	1,028,556	12
Hajjah	Hajjah	9,376	1,479,568	13
Ibb	Ibb	6,031	2,131,861	14
Lahij	Lahij	14,003	722,694	15
Ma'rib	Ma'rib	19,529	238,522	16
Raymah	Hajjah	2,239	394,448	17
Sa'dah	Sa'dah	14,364	695,033	18
Sana'a	San'a'	13,730	919,215	19
Shabwah	Ataq	45,519	470,440	20
Ta'izz	Ta'izz	11,573	2,393,425	21
