Date	Visitor	Score	Home	Leading scorer	Attendance	Record
2 November 2007	Nuggets	99–91	Timberwolves	Carmelo Anthony (33)	19,443	2–0
4 November 2007	Hornets	93–88	Nuggets	Allen Iverson (23)	13,156	2–1
6 November 2007	Nuggets	112–119	Knicks	Allen Iverson (32)	19,763	2–2
7 November 2007	Nuggets	93–119	Celtics	Allen Iverson (22)	18,624	2–3
9 November 2007	Nuggets	118–92	Wizards	Carmelo Anthony (32)	20,173	3–3
10 November 2007	Nuggets	113–106	Pacers	Carmelo Anthony (32)	12,748	4–3
12 November 2007	Cavaliers	100–122	Nuggets	Allen Iverson (37)	19,155	5–3
14 November 2007	Trail Blazers	93–110	Nuggets	Carmelo Anthony (25)	13,289	6–3
17 November 2007	Knicks	83–115	Nuggets	Carmelo Anthony (24)	19,679	7–3
20 November 2007	Bulls	91–112	Nuggets	Carmelo Anthony (26)	17,106	8–3
21 November 2007	Nuggets	90–101	Clippers	Allen Iverson (29)	17,221	8–4
23 November 2007	Timberwolves	93–99	Nuggets	Carmelo Anthony (31)	17,097	9–4
24 November 2007	Nuggets	81–109	Rockets	Allen Iverson (18)	18,228	9–5
27 November 2007	Pacers	112–110	Nuggets	Allen Iverson (26)	13,274	9–6
29 November 2007	Nuggets	99–127	Lakers	Carmelo Anthony (23)	18,997	9–7
30 November 2007	Clippers	107–123	Nuggets	Allen Iverson (26)	14,230	10–7
