Week	Date	Opponent	Result	TV Time
1	September 12, 2004	Jacksonville Jaguars	L 13–10	CBS 1:00pm
2	September 19, 2004	at Oakland Raiders	L 13–10	CBS 4:05pm
3	Bye	Bye	Bye	Bye
4	October 3, 2004	New England Patriots	L 31–17	CBS 1:00pm
5	October 10, 2004	at New York Jets	L 16–14	CBS 4:15pm
6	October 17, 2004	Miami Dolphins	W 20–13	CBS 1:00pm
7	October 24, 2004	at Baltimore Ravens	L 20–6	CBS 1:00pm
8	October 31, 2004	Arizona Cardinals	W 38–14	FOX 1:00pm
9	November 7, 2004	New York Jets	W 22–17	CBS 1:00pm
10	November 14, 2004	at New England Patriots	L 29–6	ESPN 8:30pm
11	November 21, 2004	St. Louis Rams	W 37–17	FOX 4:15pm
12	November 28, 2004	at Seattle Seahawks	W 38–9	CBS 4:05pm
13	December 5, 2004	at Miami Dolphins	W 42–32	CBS 1:00pm
14	December 12, 2004	Cleveland Browns	W 37–7	CBS 1:00pm
15	December 19, 2004	at Cincinnati Bengals	W 33–17	CBS 1:00pm
16	December 26, 2004	at San Francisco 49ers	W 41–7	CBS 4:05pm
17	January 2, 2005	Pittsburgh Steelers	L 29–24	CBS 1:00pm
