Number	Name	Position	Height	Weight	Class	Hometown
0	Sean Ogirri	G	6–2	200	Senior*	Denver, Colorado
1	Brad Jones	G	6–0	170	Senior	Marked Tree, Arkansas
5	Ryan Dermody	F	6–8	205	Sophomore	Loveland, Colorado
11	Afam Muojeke	G/F	6–7	198	Freshman	Jamaica, New York
12	Byron Geis	G	6–3	195	Senior	Gillette, Wyoming
13	Mikhail Linskens	C	7–0	270	Freshman	West Flanders , Belgium
15	Adam Waddell	F/C	6–9	215	Freshman	Cody, Wyoming
20	Joseph Taylor	F	6–8	210	Senior	Los Angeles, California
21	Tyson Johnson	F	6–6	235	Junior	Long Island, New York
23	Brandon Ewing	G	6–2	190	Junior	Chicago, Illinois
24	Marios Matalon	G	6–1	185	Freshman	Thessaloniki, Greece
31	Eric Platt	G-F	6–5	205	Sophomore	Casper, Wyoming
32	Travis Nelson	C	6–11	235	Sophomore	Marion, Iowa
45	Bienvenu Songondo	F	6–10	220	Senior	Bangui, Central African Republic
55	Travis Bunker	G/F	6–5	200	Junior	Beaver, Utah
