Player	Nationality	Position	Years for Jazz	School/Club Team
Ben Handlogten	United States	Forward	2003-04	Western Michigan
Bobby Hansen	United States	Guard	1983-90	Iowa
James Hardy	United States	Forward	1978-82	San Francisco
Matt Harpring	United States	Forward	2002-2009	Georgia Tech
Devin Harris	United States	Guard	2011-2012	Wisconsin
Steve Hayes	United States	Center	1985-86	Idaho State
Gordon Hayward	United States	Small forward	2010–present	Butler
Spencer Haywood	United States	Power forward	1978-79	Detroit
Jeff Hornacek	United States	Shooting guard	1994-2000	Iowa State
Josh Howard	United States	Small forward	2011-present	Wake Forest
Mo Howard	United States	Guard	1977-78	Maryland
Stephen Howard	United States	Forward	1992-94;1996-97	DePaul
Troy Hudson	United States	Guard	1997-98	Southern Illinois
Eddie Hughes	United States	Guard	1987-88	Colorado State
Jay Humphries	United States	Guard	1992-95	Colorado
Kris Humphries	United States	Forward	2004-06	Minnesota
