Place	Player	Country	Score	To par	Money ( $ )
1	Lee Trevino	United States	69-68-67-69=273	–15	125,000
T2	Gary Player	South Africa	74-63-69-71=277	–11	62,500
T2	Lanny Wadkins	United States	68-69-68-72=277	–11	62,500
4	Calvin Peete	United States	71-70-69-68=278	–10	35,000
5	Seve Ballesteros	Spain	70-69-70-70=279	–9	25,000
T6	Gary Hallberg	United States	69-71-68-72=280	–8	17,125
T6	Larry Mize	United States	71-69-67-73=280	–8	17,125
T6	Scott Simpson	United States	69-69-72-70=280	–8	17,125
T6	Hal Sutton	United States	74-73-64-69=280	–8	17,125
T10	Russ Cochran	United States	73-68-73-67=281	–7	12,083
T10	Tsuneyuki Nakajima	Japan	72-68-67-74=281	–7	12,083
T10	Victor Regalado	Mexico	69-69-73-70=281	–7	12,083
