Year	Class	Team	Points	Wins
1949	350cc	Norton	0	0
1949	500cc	Norton	0	0
1950	350cc	Norton	0	0
1950	500cc	Norton	0	0
1951	350cc	Norton	15	0
1951	500cc	Norton	3	0
1952	350cc	AJS	12	0
1952	500cc	AJS	14	1
1953	350cc	Norton	12	0
1953	500cc	Norton	13	0
1954	350cc	Norton	14	0
1954	500cc	Norton	8	0
1955	350cc	Norton	0	0
1955	500cc	Norton	3	0
1956	350cc	Norton	3	0
1956	500cc	Norton	5	0
1957	350cc	Norton	3	0
1957	500cc	Norton	9	0
1958	350cc	Norton	0	0
1959	500cc	Norton	0	0
1960	350cc	Norton	0	0
1960	500cc	Norton	0	0
