Prefecture	City/Town	High School Name	Year of Previous Participation	Total Number of Participation
Hokkaido	Obihiro	Obihiro Otani	N/A	1
Hokkaido	Otaru	Hokusho	2009	3
Aomori	Hirosaki	Seiai	N/A	1
Iwate	Hanamaki	Hanamaki Higashi	2010	7
Akita	Akita	Akita Shogyo	2010	17
Yamagata	Yamagata	Nichidai yamagata	2006	16
Miyagi	Sendai	Sendai Ikuei	2012	24
Fukushima	Date	Seikou Gakuin	2012	10
Ibaraki	Tsuchiura	Joso Gakuin	2012	15
Tochigi	Utsunomiya	Sakushin Gakuin	2012	9
Gunma	Maebashi	Maebashi Ikuei	N/A	1
Saitama	Saitama	Urawa Gakuin	2012	12
Chiba	Kisarazu	Kisarazusogo	2012	4
Tokyo	Katsushika	Shutoku	2004	5
Tokyo	Machida	Nichidai-san	2012	16
Kanagawa	Yokohama	Yokohama	2012	15
Yamanashi	Yamanashi	Hikawa	2009	4
Niigata	Niigata	Nihon Bunri	2010	7
Nagano	Ueda	Ueda nishi	N/A	1
Toyama	Toyama	Toyama Daiichi	N/A	1
Ishikawa	Kanazawa	Seiryo	2006	16
Fukui	Fukui	Fukui Shogyo	2010	22
Shizouka	Kikugawa	Tokoha kikugawa	2007	4
Aichi	Nagoya	Aikodai Meiden	2012	11
Gifu	Ogaki	Ogaki Nichidai	2006	2
Mie	Matsusaka	Mie	2008	11
Shiga	Hikone	Hikone Higashi	N/A	1
Kyoto	Fukuchiyama	Fukuchiyama Seibi	2007	4
Nara	Sakurai	Sakurai	N/A	1
Osaka	Daito	Osaka Toin	2012	7
Hyogo	Nishiwaki	Nishiwaki Kogyo	N/A	1
Wakayama	Arida	Minoshima	1982	8
Okayama	Tamano	Tamano Konan	2001	3
Hiroshima	Hiroshima	Setouchi	1999	2
Tottori	Tottori	Tottori Johoku	2012	3
Shimane	Gotsu	Iwami Chisyukan	2004	8
Yamaguchi	Iwakuni	Iwakuni Shogyo	1985	4
Kagawa	Marugame	Marugame	1999	4
Tokushima	Naruto	Naruto	2012	8
Ehime	Matsuyama	Saibi	2007	4
Kouchi	Susaki	Meitoku Gijuku	2012	15
Fukuoka	Kitakyushu	Jiyuugaoka	N/A	1
Saga	Arita	Arita Kogyo	N/A	1
Nagasaki	Sasebo	Sasebo Jitsugyo	2010	5
Kumamoto	Kumamoto	Kumamoto Kogyo	2008	20
Oita	Oita	Oita Shogyo	1996	15
Miyazaki	Nobeoka	Nobeoka Gakuen	2009	7
Kagoshima	Kagoshima	Shonan	2008	18
