Round	Date	Grand Prix	Circuit	MotoGP winner	Moto2 winner	125cc winner	Report
1	11 April	Qatar Grand Prix †	Losail	Valentino Rossi	Shoya Tomizawa	Nicolás Terol	Report
2	2 May	Spanish Grand Prix	Jerez	Jorge Lorenzo	Toni Elías	Pol Espargaró	Report
3	23 May	French Grand Prix	Le Mans	Jorge Lorenzo	Toni Elías	Pol Espargaró	Report
4	6 June	Italian Grand Prix	Mugello	Dani Pedrosa	Andrea Iannone	Marc Márquez	Report
5	20 June	British Grand Prix	Silverstone	Jorge Lorenzo	Jules Cluzel	Marc Márquez	Report
6	26 June	Dutch TT ††	Assen	Jorge Lorenzo	Andrea Iannone	Marc Márquez	Report
7	4 July	Catalan Grand Prix	Catalunya	Jorge Lorenzo	Yuki Takahashi	Marc Márquez	Report
8	18 July	German Grand Prix	Sachsenring	Dani Pedrosa	Toni Elías	Marc Márquez	Report
9	25 July	United States Grand Prix ‡	Laguna Seca	Jorge Lorenzo	No 125cc and Moto2 race	No 125cc and Moto2 race	Report
10	15 August	Czech Republic Grand Prix	Brno	Jorge Lorenzo	Toni Elías	Nicolás Terol	Report
11	29 August	Indianapolis Grand Prix	Indianapolis	Dani Pedrosa	Toni Elías	Nicolás Terol	Report
12	5 September	San Marino Grand Prix	Misano	Dani Pedrosa	Toni Elías	Marc Márquez	Report
13	19 September	Aragon Grand Prix	Motorland Aragón	Casey Stoner	Andrea Iannone	Pol Espargaró	Report
14	3 October	Japanese Grand Prix	Motegi	Casey Stoner	Toni Elías	Marc Márquez	Report
15	10 October	Malaysian Grand Prix	Sepang	Valentino Rossi	Roberto Rolfo	Marc Márquez	Report
16	17 October	Australian Grand Prix	Phillip Island	Casey Stoner	Alex de Angelis	Marc Márquez	Report
17	31 October	Portuguese Grand Prix	Estoril	Jorge Lorenzo	Stefan Bradl	Marc Márquez	Report
