Year	Flagship Station	Play-by-play	Color commentator(s)	Studio host
2009-10	WEEI	Sean Grande	Cedric Maxwell	John Ryder
2008-09	WEEI	Sean Grande	Cedric Maxwell	John Ryder
2007-08	WEEI	Sean Grande	Cedric Maxwell	John Ryder
2006-07	WRKO	Sean Grande	Cedric Maxwell	Jimmy Myers and Jimmy Young
2005-06	WRKO	Sean Grande	Cedric Maxwell	Jimmy Myers and Jimmy Young
2004-05	WWZN	Sean Grande	Cedric Maxwell	Jimmy Myers
2003-04	WWZN	Sean Grande	Cedric Maxwell	Jimmy Myers
2002-03	WWZN	Sean Grande	Cedric Maxwell	Jimmy Myers
2001-02	WWZN	Sean Grande	Cedric Maxwell	Dave Jageler & Marty Tirrell
2000-01	WEEI	Howard David	Cedric Maxwell	Ted Sarandis
