Rider	Manufacturer	Laps	Time	Grid
Valentino Rossi	Yamaha	28	44:30.799	4
Jorge Lorenzo	Yamaha	28	+4.997	5
Colin Edwards	Yamaha	28	+6.805	2
Dani Pedrosa	Honda	28	+10.157	1
Chris Vermeulen	Suzuki	28	+21.762	8
Andrea Dovizioso	Honda	28	+22.395	10
Loris Capirossi	Suzuki	28	+27.806	11
Nicky Hayden	Honda	28	+27.995	6
Randy de Puniet	Honda	28	+29.344	12
Shinya Nakano	Honda	28	+30.822	13
Toni Elías	Ducati	28	+35.154	14
Alex de Angelis	Honda	28	+36.216	15
Sylvain Guintoli	Ducati	28	+52.038	16
Anthony West	Kawasaki	28	+1:29.307	18
Marco Melandri	Ducati	27	+1 Lap	17
Casey Stoner	Ducati	26	+2 Laps	3
John Hopkins	Kawasaki	16	Retirement	9
James Toseland	Yamaha	2	Accident	7
