1950	General 1950	Senate 1950	House 1950	Governors 1950
1952	General 1952	Senate 1952	House 1952	Governors 1952
1954	General 1954	Senate 1954	House 1954	Governors 1954
1956	General 1956	Senate 1956	House 1956	Governors 1956
1958	General 1958	Senate 1958	House 1958	Governors 1958
1960	General 1960	Senate 1960	House 1960	Governors 1960
1962	General 1962	Senate 1962	House 1962	Governors 1962
1964	General 1964	Senate 1964	House 1964	Governors 1964
1966	General 1966	Senate 1966	House 1966	Governors 1966
1968	General 1968	Senate 1968	House 1968	Governors 1968
1970	General 1970	Senate 1970	House 1970	Governors 1970
1971	General 1971	Senate 1970	House 1970	Governors 1971
1972	General 1972	Senate 1972	House 1972	Governors 1972
1973	General 1973	Senate 1972	House 1972	Governors 1973
1974	General 1974	Senate 1974	House 1974	Governors 1974
1975	General 1975	Senate 1974	House 1974	Governors 1975
1976	General 1976	Senate 1976	House 1976	Governors 1976
1977	General 1977	Senate 1976	House 1976	Governors 1977
1978	General 1978	Senate 1978	House 1978	Governors 1978
1979	General 1979	Senate 1978	House 1978	Governors 1979
1980	General 1980	Senate 1980	House 1980	Governors 1980
1981	General 1981	Senate 1980	House 1980	Governors 1981
1982	General 1982	Senate 1982	House 1982	Governors 1982
1983	General 1983	Senate 1982	House 1982	Governors 1983
1984	General 1984	Senate 1984	House 1984	Governors 1984
1985	General 1985	Senate 1984	House 1984	Governors 1985
1986	General 1986	Senate 1986	House 1986	Governors 1986
1987	General 1987	Senate 1986	House 1986	Governors 1987
1988	General 1988	Senate 1988	House 1988	Governors 1988
1989	General 1989	Senate 1988	House 1988	Governors 1989
1990	General 1990	Senate 1990	House 1990	Governors 1990
1991	General 1991	Senate 1990	House 1990	Governors 1991
1992	General 1992	Senate 1992	House 1992	Governors 1992
1993	General 1993	Senate 1992	House 1992	Governors 1993
1994	General 1994	Senate 1994	House 1994	Governors 1994
1995	General 1995	Senate 1994	House 1994	Governors 1995
1996	General 1996	Senate 1996	House 1996	Governors 1996
1997	General 1997	Senate 1996	House 1996	Governors 1997
1998	General 1998	Senate 1998	House 1998	Governors 1998
1999	General 1999	Senate 1998	House 1998	Governors 1999
