Year	Entrant	Chassis	Engine	Points
1950	Scuderia Ferrari	Ferrari 125	Ferrari V12	0
1951	Scuderia Ferrari	Ferrari 375	Ferrari V12	15 (18)
1952	Scuderia Ferrari	Ferrari 500	Ferrari Straight-4	8
1953	Scuderia Ferrari	Ferrari 500	Ferrari Straight-4	17
1954	Officine Alfieri Maserati	Maserati 250F	Maserati Straight-6	2
1954	Scuderia Lancia	Lancia D50	Lancia V8	2
1955	Scuderia Lancia	Lancia D50	Lancia V8	2
1956	Scuderia Centro Sud	Maserati 250F	Maserati Straight-6	2
1956	Luigi Piotti	Maserati 250F	Maserati Straight-6	2
1956	Officini Alfieri Maserati	Maserati 250F	Maserati Straight-6	2
