Rank	Nation	Gold	Silver	Bronze	Total
1	South Korea	9	4	0	13
2	Spain	2	1	6	9
3	Chinese Taipei	2	0	4	6
4	Iran	2	0	0	2
5	China	1	1	2	4
6	Turkey	0	3	2	5
7	Denmark	0	2	0	2
8	Canada	0	1	2	3
9	France	0	1	1	2
9	Germany	0	1	1	2
11	Netherlands	0	1	0	1
11	Philippines	0	1	0	1
13	Australia	0	0	2	2
13	Russia	0	0	2	2
13	United States	0	0	2	2
16	Belgium	0	0	1	1
16	Chile	0	0	1	1
16	Dominican Republic	0	0	1	1
16	Germany	0	0	1	1
16	Kazakhstan	0	0	1	1
16	Morocco	0	0	1	1
16	Switzerland	0	0	1	1
16	Vietnam	0	0	1	1
Total	Total	16	16	32	64
