Sunday Sunna/Sól	Monday Mona/ Máni	Tuesday Tiw/ Tyr	Wednesday Woden / Odin	Thursday Thunor / Thor	Friday Frige or Freya	Saturday Saturn
*Sunnōniz dagaz	*Mēniniz dagaz	*Tīwas dagaz / *Þingsus dagaz	*Wōdanas dagaz	*Þunras dagaz	*Frijjōz dagaz	*Saturnus dagaz / *Laugō dagaz
Sunnandæg	Mōnandæg	Tīwesdæg	Wōdnesdæg	Þunresdæg	Frīgedæg	Sæternesdæg
Sunnundag	*Mānundag	*Tiuwesdag or *Thingesdag	Wōdanesdag	*Thunaresdag	Frīadag	*Sunnunāƀand or *Satarnesdag
Sunnûntag	Mânetag	Zîestag	Wôdanstag (Wuotanstag)	Donarestag	Frîjatag	Sunnûnâband or Sambaztag [♄1 ]
Sunnedag	Manedag	Dingesdag	Wodenesdag	Donersdag	Vrīdag	Sunnenavend and Satersdag
Sonntag	Montag	Dienstag [♂1 ] or Ziestag (Swiss German)	Mittwoch [☿1 ] (older Wutenstag)	Donnerstag	Freitag	Sonnabend [♄3 ] or Samstag [♄1 ]
zondag	maandag	dinsdag [♂1 ]	woensdag	donderdag	vrijdag	zaterdag
Saubath/Sunday	Monanday	Tysday	Wadensday	Fuirsday	Friday	Seturday [♄1 ]
Sondag	Maandag	Dinsdag [♂1 ]	Woensdag	Donderdag	Vrydag	Saterdag
Snein	Moandei	Tiisdei	Woansdei	Tongersdei	Freed	Sneon [♄3 ] or Saterdei
Sünndag	Maandag	Dingsdag	Woonsdag and Middeweek	Dünnersdag	Freedag	Sünnavend and Saterdag
sunnudagr	mánadagr	tysdagr	óðinsdagr	þórsdagr	frjádagr	laugardagr [♄2 ] or sunnunótt
sunnudagur	mánadagur	týsdagur	mikudagur [☿1 ]	hósdagur or tórsdagur	fríggjadagur	leygardagur
sunnudagur	mánudagur	þriðjudagur	miðvikudagur [☿1 ]	fimmtudagur	föstudagur	laugardagur
søndag	mandag	tirsdag	onsdag	torsdag	fredag	lørdag [♄2 ]
sundag	måndag	tysdag	onsdag	torsdag	fredag	laurdag [♄2 ]
söndag	måndag	tisdag	onsdag	torsdag	fredag	lördag [♄2 ]
sunnuntai	maanantai	tiistai	keskiviikko [☿1 ]	torstai	perjantai	lauantai [♄2 ]
pühapäev [☉2 ]	esmaspäev	teisipäev	kolmapäev	neljapäev	reede	laupäev [♄2 ]
wiki /Rātapu	mane /Rāhina	tūrei /Rātū	wenerei /Rāapa	tāite /Rāpare	prairie /Rāmere	hāterei /Rāhoroi
