Player	Date of Birth	Batting Style	Bowling Style	First Class Team
Alistair Campbell (captain)	23 September 1972	Left hand bat	Right arm off break	Mashonaland
Craig Evans	29 November 1969	Right hand bat	Right arm medium	Mashonaland
Andy Flower (wicket-keeper)	28 April 1968	Left hand bat	Wicket-keeper	Mashonaland
Grant Flower	20 December 1970	Right hand bat	Left arm orthodox spin	Mashonaland
Murray Goodwin	11 December 1972	Right hand bat	Right arm leg break	Mashonaland
Neil Johnson	24 January 1970	Left hand bat	Right arm fast-medium	Matabeleland KwaZulu-Natal
Pommie Mbangwa	26 June 1976	Right hand bat	Right arm fast-medium	Mashonaland Matabeleland
Gavin Rennie	12 January 1976	Left hand bat	Left arm orthodox spin	Mashonaland
Paul Strang	28 July 1970	Right hand bat	Right arm leg break Googly	Mashonaland
Heath Streak	16 March 1974	Right hand bat	Right arm fast-medium	Matabeleland
Andy Whittall	28 March 1973	Right hand bat	Right arm off break	Matabeleland
Craig Wishart	9 January 1974	Right hand bat	Right arm off break	Mashonaland Matabeleland
Henry Olonga	3 July 1976	Right hand bat	Right arm fast	Mashonaland Matabeleland
Adam Huckle	21 September 1971	Right hand bat	Right arm leg break Googly	Matabeleland
Source:	Source:	Source:	Source:	Source:
