Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	30-13	Silmar Nunes	Decision (unanimous)	Iron Fight Combat 4	3	5:00	Parana , Brazil
Win	29-13	Guilherme Gomes	Decision (unanimous)	Shooto - Brasil 33: BOPE II	3	5:00	Rio de Janeiro , Brazil
Win	28-13	Patrick Vallée	Decision (unanimous)	100% Fight 11: Explosion	3	5:00	Paris , France
Loss	27-13	Pete Spratt	Decision (unanimous)	Amazon Forest Combat 2	3	5:00	Manaus , Brazil
Win	27-12	Arimarcel Santos	KO (punches)	Iron Man Championship 13	1	2:45	Belém , Brazil
Win	26-12	Jose Gomes de Ribamar	TKO (punches)	Kumite MMA Combate	2	2:57	Porto Alegre , Brazil
Win	25-12	Luis Melo	KO (punches)	Amazon Forest Combat 1	1	2:50	Manaus , Brazil
Loss	24-12	Hernani Perpetuo	Decision (split)	Clube da Luta	3	3:00	Rio de Janeiro , Brazil
Win	24-11	Felipe Arinelli	KO (punches)	Fatality Arena 3	1	2:58	Niteroi, Rio de Janeiro , Brazil
Win	23-11	Diego Gonzalez	Decision (unanimous)	Superior Challenge 7	3	5:00	Stockholm , Sweden
Loss	22-11	Bruno Santos	Decision (unanimous)	WFE 8: Platinum	5	5:00	Brazil
Win	22-10	David Bielkheden	DQ (overturned by SMMAF)	Superior Challenge 6	3	5:00	Stockholm , Sweden
Loss	21-10	Paul Daley	Submission (elbow)	Impact FC 2	3	1:15	Sydney , Australia
Win	21-9	Cassiano Ricardo Castanho de Freitas	Decision (unanimous)	Platinum Fight Brazil 3	3	5:00	Sao Paulo , Brazil
Loss	20-9	Ivan Jorge	Decision (unanimous)	Floripa Fight 6	3	5:00	Santa Catarina , Brazil
Win	20-8	Bobby Rehman	Decision (unanimous)	SC 4: Bad Intentions	3	5:00	Stockholm , Sweden
Win	19-8	Pedro Irie	TKO (punches)	First Class Fight 3	2	4:11	Sao Paulo , Brazil
Win	18-8	Jae Young Kim	Decision (majority)	M-1 Challenge 17 - Korea	2	5:00	Seoul , South Korea
Loss	17-8	Mamed Khalidov	KO (punches)	KSW XI	1	1:10	Warsaw , Poland
Win	17-7	Cassio Drummond	TKO (doctor stoppage)	The Warriors	2	N/A	Rio de Janerio , Brazil
Loss	16-7	Eduardo Pamplona	Decision (split)	Santos Fight Festival	3	5:00	Sao Paulo , Brazil
Win	16-6	Andrew Tigrao	Decision (unanimous)	Mr. Cage 1	3	5:00	Amazonas , Brazil
Win	15-6	Eder Jones	Submission (punches)	Win Fight & Entertainment 2	3	3:15	Bahia , Brazil
Win	14-6	Tor Troeng	Decision	Fight Festival 23	3	5:00	Helsinki , Finland
Loss	13-6	Rousimar Palhares	Submission (heel hook)	Fury FC 5 - Final Conflict	1	1:22	Sao Paulo , Brazil
Win	13-5	Andre Mikito	Submission (slam)	Fury FC 5 - Final Conflict	2	3:40	Sao Paulo , Brazil
Win	12-5	Gil de Freitas	Decision (unanimous)	Fury FC 4: High Voltage	3	5:00	Teresopolis , Brazil
Win	11-5	Michele Verginelli	Decision (unanimous)	Fury FC 3: Reloaded	3	5:00	Sao Paulo , Brazil
Loss	10-5	Luis Santos	Decision (unanimous)	Roraima Combat 3	3	5:00	Brazil
Loss	10-4	Delson Heleno	Decision (unanimous)	Fury FC 2: Final Combat	3	5:00	Sao Paulo , Brazil
Loss	10-3	Ryo Kawamura	KO (punch)	Pancrase - Blow 7	2	2:40	Tokyo , Japan
Loss	10-2	Akihiro Gono	Decision (unanimous)	Pride Bushido 9	2	5:00	Tokyo , Japan
win	10-1	Kazuo Misaki	Decision (unanimous)	Pride Bushido 8	2	5:00	Nagoya , Japan
Win	9-1	Daiju Takase	TKO (soccer kicks)	Pride Bushido 6	2	3:34	Yokohama , Japan
Win	8-1	Danilo Pereira	Decision (unanimous)	Storm Samurai 5	3	5:00	Curitiba , Brazil
Win	7-1	Eric Tavares	KO (soccer kicks)	Meca World Vale Tudo 11	1	2:48	Curitiba , Brazil
Win	6-1	Buck Greer	KO (punch)	Jungle Fight 2	1	N/A	Manaus , Brazil
Win	5-1	Roberto Godoi	TKO (punches)	Meca World Vale Tudo 10	1	8:39	Curitiba , Brazil
Win	4-1	Delson Heleno	TKO (corner stoppage)	Meca World Vale Tudo 9	2	5:00	Curitiba , Brazil
Win	3-1	Guilherme Lima	TKO (punches)	Meca World Vale Tudo 8	1	3:50	Curitiba , Brazil
Win	2-1	Jose Carlos Oliveira	Submission (rear naked choke)	Meca World Vale Tudo 6	1	1:44	Curitiba , Brazil
Win	1-1	Silvio de Souza	Submission (keylock)	Meca World Vale Tudo 4	1	8:07	Curitiba , Brazil
Loss	0-1	Nilson de Castro	Submission (triangle choke)	Meca World Vale Tudo 1	1	7:11	Tokyo , Brazil
