Date	Visitor	Score	Home	Leading scorer	Record
1 April 2005	Spurs	84-102	Nuggets	Tony Parker (17)	53-19
2 April 2005	Lakers	94-95	Spurs	Brent Barry (20)	54-19
6 April 2005	Clippers	82-91	Spurs	Manu Ginóbili (16)	55-19
7 April 2005	Spurs	68-104	Mavericks	Brent Barry (12)	55-20
9 April 2005	Spurs	125-124	Clippers	Manu Ginóbili (40)	56-20
10 April 2005	Spurs	136-134	Warriors	Tony Parker (35)	57-20
12 April 2005	Trail Blazers	89-95	Spurs	Manu Ginóbili (30)	58-20
13 April 2005	Spurs	91-93	Jazz	Manu Ginóbili (21)	58-21
16 April 2005	Grizzlies	97-75	Spurs	Bruce Bowen (15)	59-21
18 April 2005	Spurs	92-94	Grizzlies	Glenn Robinson (23)	59-22
20 April 2005	Spurs	73-95	Timberwolves	Glenn Robinson (16)	59-23
