Driver	Constructor	Laps	Time/Retired	Grid
Denny Hulme	Brabham - Repco	15	2:05:55.7	2
Jack Brabham	Brabham - Repco	15	+ 38.5	7
Chris Amon	Ferrari	15	+ 39.0	8
John Surtees	Honda	15	+ 2:25.7	6
Jackie Oliver	Lotus - Ford	15	+ 5:30.7	19
Jo Bonnier	Cooper - Maserati	15	+ 8:42.1	16
Alan Rees	Brabham - Ford	15	+ 8:47.9	20
Guy Ligier	Brabham - Repco	14	+ 1 Lap	17
Chris Irwin	BRM	13	+ 2 Laps	15
David Hobbs	Lola - BMW	13	+ 2 Laps	22
Pedro Rodríguez	Cooper - Maserati	13	+ 2 Laps	10
Dan Gurney	Eagle - Weslake	12	Halfshaft	4
Jacky Ickx	Matra - Ford	12	Suspension	18
Brian Hart	Protos - Ford	12	+3 Laps	25
Jo Siffert	Cooper - Maserati	12	Fuel pump	12
Graham Hill	Lotus - Ford	8	Suspension	13
Hubert Hahne	Lola - BMW	6	Suspension	14
Jackie Stewart	BRM	5	Differential	3
Jim Clark	Lotus - Ford	4	Suspension	1
Jochen Rindt	Cooper - Maserati	4	Radiator	9
Kurt Ahrens, Jr.	Protos - Ford	4	Radiator	23
Bruce McLaren	Eagle - Weslake	3	Oil Leak	5
Mike Spence	BRM	3	Differential	11
Jo Schlesser	Matra - Ford	2	Engine	21
Gerhard Mitter	Brabham - Ford	0	Engine	24
