Tie no	Home team	Score	Away team	Attendance
1	Blackpool	2–1	Chester City	11 November 1995
2	Bournemouth	0–0	Bristol City	11 November 1995
Replay	Bristol City	0–1	Bournemouth	21 November 1995
3	Barnet	2–2	Woking	11 November 1995
Replay	Woking	2–1	Barnet	21 November 1995
4	Barrow	2–1	Nuneaton Borough	11 November 1995
5	Burnley	1–3	Walsall	10 November 1995
6	Bury	0–2	Blyth Spartans	11 November 1995
7	Canvey Island	2–2	Brighton & Hove Albion	12 November 1995
Replay	Brighton & Hove Albion	4–1	Canvey Island	21 November 1995
8	Rochdale	5–3	Rotherham United	11 November 1995
9	Northwich Victoria	1–3	Scunthorpe United	11 November 1995
10	Swindon Town	4–1	Cambridge United	11 November 1995
11	Scarborough	0–2	Chesterfield	11 November 1995
12	Shrewsbury Town	11–2	Marine	11 November 1995
13	Stockport County	5–0	Lincoln City	11 November 1995
14	Wycombe Wanderers	1–1	Gillingham	13 November 1995
Replay	Gillingham	1–0	Wycombe Wanderers	21 November 1995
15	Kidderminster Harriers	2–2	Sutton United	11 November 1995
Replay	Sutton United	1–1	Kidderminster Harriers	21 November 1995
Sutton United won 3–1 on penalties	Sutton United won 3–1 on penalties	Sutton United won 3–1 on penalties	Sutton United won 3–1 on penalties	Sutton United won 3–1 on penalties
16	Fulham	7–0	Swansea City	11 November 1995
17	Brentford	1–1	Farnborough Town	11 November 1995
Replay	Farnborough Town	0–4	Brentford	22 November 1995
18	Northampton Town	1–0	Hayes	11 November 1995
19	Bradford City	4–3	Burton Albion	11 November 1995
20	Hull City	0–0	Wrexham	11 November 1995
Replay	Wrexham	0–0	Hull City	21 November 1995
Wrexham won 3–1 on penalties	Wrexham won 3–1 on penalties	Wrexham won 3–1 on penalties	Wrexham won 3–1 on penalties	Wrexham won 3–1 on penalties
21	Carlisle United	1–2	Preston North End	11 November 1995
22	Spennymoor United	0–1	Colwyn Bay	11 November 1995
23	Hitchin Town	2–1	Bristol Rovers	11 November 1995
24	Altrincham	0–2	Crewe Alexandra	22 November 1995
25	Exeter City	0–1	Peterborough United	11 November 1995
26	Bognor Regis Town	1–1	Ashford Town	11 November 1995
Replay	Ashford Town	0–1	Bognor Regis Town	21 November 1995
27	Mansfield Town	4–2	Doncaster Rovers	11 November 1995
28	Kingstonian	5–1	Wisbech Town	11 November 1995
29	Runcorn	1–1	Wigan Athletic	11 November 1995
Replay	Wigan Athletic	4–2	Runcorn	21 November 1995
30	Torquay United	1–0	Leyton Orient	11 November 1995
31	York City	0–1	Notts County	12 November 1995
32	Hereford United	2–1	Stevenage Borough	11 November 1995
33	Newport (IOW)	1–1	Enfield	11 November 1995
Replay	Enfield	2–1	Newport (IOW)	21 November 1995
34	Gravesend & Northfleet	2–0	Colchester United	11 November 1995
35	Slough Town	0–2	Plymouth Argyle	11 November 1995
36	Cinderford Town	2–1	Bromsgrove Rovers	11 November 1995
37	Oxford United	9–1	Dorchester Town	11 November 1995
38	Telford United	2–1	Witton Albion	11 November 1995
39	Hartlepool United	2–4	Darlington	11 November 1995
40	Rushden & Diamonds	1–3	Cardiff City	11 November 1995
