No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
41	1	"Josh Runs Into Oprah"	Roger Christiansen	Ethan Banville	September24,2006	405
42	2	"Vicious Tiberius"	Roger Christiansen	George Doty IV	October1,2006	402
43	3	"The Wedding"	Steve Hoefer	Matt Fleckenstein	October15,2006	412
44	4	"Mindy Loves Josh"	Adam Weissman	Arthur Gradstein	October22,2006	403
45	5	"Who's Got Game?"	Adam Weissman	Ethan Banville	November5,2006	409
46	6	"The Great Doheny"	Adam Weissman	Matt Fleckenstein	November12,2006	404
47	7	"I Love Sushi"	Steve Hoefer	Dan Schneider	November26,2006	407
48	8	"The Storm"	Steve Hoefer	George Doty IV	January7,2007	411
49	9	"My Dinner with Bobo"	Virgil Fabian	Arthur Gradstein	January14,2007	406
50	10	"Tree House"	Roger Christiansen	Dan Schneider	January21,2007	408
51	11	"Josh Is Done"	Adam Weissman	Ethan Banville	February11,2007	415
52	12	"Eric Punches Drake"	Roger Christiansen	Arthur Gradstein	February18,2007	417
53	13	"Megan's Revenge"	Steve Hoefer	Dan Schneider	March4,2007	401
54	14	"Steered Straight"	Steve Hoefer	Dan Schneider	March11,2007	414
55	15	"Megan's First Kiss"	Will Bardelli	George Doty IV	April7,2007	418
56	16	"Battle of Panthatar"	Josh Peck	Matt Fleckenstein	April15,2007	416
57-58	17-18	" Really Big Shrimp "	Drake Bell (Part 1) Steve Hoefer (Part 2)	Dan Schneider & George Doty IV	August3,2007	419-420
59	19	"Helicopter"	Virgil Fabian	Dan Schneider	August5,2007	410
