Year	English title	Original title	Country	Director
1981	The Tin Drum	Die Blechtrommel	West Germany	Volker Schlöndorff
1982	Pixote	Pixote: A lei do mais fraco	Brazil	Hector Babenco
1983	Mad Max 2: The Road Warrior	Mad Max 2: The Road Warrior	Australia	George Miller
1984	Fanny and Alexander	Fanny och Alexander	Sweden	Ingmar Bergman
1984	The Fourth Man	De vierde man	Netherlands	Paul Verhoeven
1985	Ran	Ran	Japan/France	Akira Kurosawa
1985	The Official Story	La historia oficial	Argentina	Luis Puenzo
1986	Vagabond	Sans toit ni loi	France/UK	Agnès Varda
1987	Goodbye, Children	Au revoir, les enfants	France/West Germany	Louis Malle
1988	Wings of Desire	Der Himmel über Berlin	France/West Germany	Wim Wenders
1989	Distant Voices, Still Lives	Distant Voices, Still Lives	UK	Terence Davies
1989	Story of Women	Une affaire de femmes	France	Claude Chabrol
