No.	Player	Hometown	Class	Position	Height	Weight
10	Larry Bauer	Springfield, Illinois	So.	Forward	6-7	207
11	Bob Meadows	Collinsville, Illinois	So.	Guard	5-7	157
12	Tal Brody	Trenton, New Jersey / Central High School	So.	Guard	6-2	165
14	John Love	Ottawa, Illinois	Jr.	Forward	6-3	199
22	Jay Lovelace	Carbondale, Illinois	Sr.	Guard	6-0	164
25	Bill Burwell	Brooklyn, New York / Boys High School	Sr.	Center	6-8	227
30	Jeff Ferguson	Benton, Illinois	Sr.	Forward	6-3	195
31	Tony Latham	Waukegan, Illinois	So.	Guard	6-10	163
32	Bill Edwards	Windsor, Illinois	Jr.	Guard	6-2	208
33	Bogie Redmon	Collinsville, Illinois	So.	Forward	6-5	218
34	Bill McKeown	Clinton, Illinois	So.	Guard	6-2	185
35	Skip Thoren	Rockford, Illinois / Rockford East High School	So.	Center	6-8	201
40	Dave Downey	Canton, Illinois	Sr.	Forward	6-4	204
