Callsign	Area served	Band	Freq currently	Purpose
4AT	Atherton	AM	4AT (National)	Commercial
4AY	Ayr / Townsville	AM	see 4RR	Commercial
4BCB	Blackwater	FM	silent	Community
4BK	Brisbane	AM	4RPH	Commercial
4CA	Cairns	AM	4EL	Commercial
4CD	Gladstone	AM	4CC	Commercial
4EB	Brisbane	AM	Rete Italia (HPON)	Community
4EEE	Emerald	FM	silent	Community
4GG	Gold Coast	AM	4BI ( Brisbane )	Commercial
4GGG	Gold Coast	FM	4GLD	Commercial
4IO	Brisbane	AM	see 4IP	Commercial
4IP	Ipswich / Brisbane	AM	4TAB	Commercial
4MB	Maryborough	AM	4FC	Commercial
4MI	Mount Isa	AM	silent	National
4MK	Mackay	AM	4AA	Commercial
4NA	Nambour	AM	see 4SS	Commercial
4QA	Mackay	AM	silent	National
4QFM	Ipswich	FM	4BNE	Commercial
4QG	Brisbane	AM	4RN	National
4RR	Townsville	AM	4TAB	Commercial
4RRR	Roma	FM	silent	Community
4SDA	Nambour	FM	4SFM	Community
4SO	Southport	AM	silent	National
4SS	Nambour	AM	silent	Commercial
4SUN	Remote Commercial Radio Service North East Zone	FM	4RBL	Commercial
4TO	Townsville	AM	retransmission of 4TOO	Commercial
4TOF	Cunnamulla	FM	retransmission of 4RR	Community
