Club	City	Stadium	Capacity	2011–12 season
AlbinoLeffe	Albino and Leffe (playingin Bergamo )	Atleti Azzurri d'Italia	26,542	22nd in Serie B
Carpi	Carpi	Sandro Cabassi	4,164	3rd in Lega Pro Prima Divisione A
Como	Como	Giuseppe Sinigaglia	13,602	13th in Lega Pro Prima Divisione A
Cremonese	Cremona	Giovanni Zini	20,641	5th in Lega Pro Prima Divisione B
Cuneo	Cuneo	Fratelli Paschiero	4,000	3rd in Lega Pro Seconda Divisione A
FeralpiSalò	Salò and Lonato del Garda (playing in Brescia )	Mario Rigamonti	27,592	14th in Lega Pro Prima Divisione A
Lecce	Lecce	Via del Mare	33,876	18th in Serie A
Lumezzane	Lumezzane	Nuovo Comunale	4,150	8th in Lega Pro Prima Divisione A
Pavia	Pavia	Pietro Fortunati	4,999	16th in Lega Pro Prima Divisione A
Portogruaro	Portogruaro	Piergiovanni Mecchia	4,021	10th in Lega Pro Prima Divisione B
Reggiana	Reggio Emilia	Città del Tricolore	20,084	9th in Lega Pro Prima Divisione A
SanMarino	Serravalle	Olimpico	7,000	2nd in Lega Pro Seconda Divisione A
Südtirol	Bolzano	Druso	3,500	7th in Lega Pro Prima Divisione B
Trapani	Trapani (playing in Erice )	Provinciale	6,776	2nd in Lega Pro Prima Divisione B
Treviso	Treviso	Omobono Tenni	10,000	1st in Lega Pro Seconda Divisione A
Tritium	Trezzo sull'Adda (playing in Monza )	Stadio Brianteo	18,568	12th in Lega Pro Prima Divisione A
Virtus Entella	Chiavari	Comunale	2,500	5th in Lega Pro Seconda Divisione A
