Week	Date	Opponent	Result	Attendance
1	September 2, 1984	at Minnesota Vikings	W 42–13	57,276
2	September 9, 1984	at Seattle Seahawks	L 31–17	61,314
3	September 16, 1984	Houston Oilers	W 31–14	52,266
4	September 24, 1984	at Los Angeles Raiders	L 33–30	76,131
5	September 30, 1984	Detroit Lions	W 27–24	53,509
6	October 7, 1984	at Green Bay Packers	W 34–28	54,045
7	October 14, 1984	at Kansas City Chiefs	L 31–13	62,233
8	October 21, 1984	Los Angeles Raiders	L 44–37	57,442
9	October 29, 1984	Seattle Seahawks	L 24–0	53,974
10	November 4, 1984	at Indianapolis Colts	W 38–10	60,143
11	November 11, 1984	Denver Broncos	L 16–13	53,162
12	November 18, 1984	Miami Dolphins	W 34–28	53,041
13	November 25, 1984	at Pittsburgh Steelers	L 52–24	55,856
14	December 3, 1984	Chicago Bears	W 20–7	45,470
15	December 9, 1984	at Denver Broncos	L 16–13	74,867
16	December 16, 1984	Kansas City Chiefs	L 42–21	40,221
