No.1	No.2	No.3	No.4	No.5	No.6	No.7	No.8	No.9	No.10	No.11	No.12	No.13	No.14	No.15	FINAL
No Nominations	Diana Raquel	Diana Lara	Diana Zé	Raquel	Diana Lara	Diana Zé	Diana Rubén	Filipa Margarida	Tania	Catarina Margarida	Margarida Tatiana	Filipa Tatiana	No Nominations	No Nominations	Winner (Day 123)
No Nominations	Ricardo M. Zé	Carla Ricardo M.	Ricardo B. Zé	Carla Ricardo B.	Diana Zé	Diana Zé	Diana Rubén	Nando Thiago	Filipa Thiago	Filipa Nando	Nando Thiago	Nando Ricardo B.	No Nominations	No Nominations	Runner-Up (Day 123)
No Nominations	Alzira Ricardo M.	Ricardo M. Tatiana	Ricardo M. Tatiana	Carla Tatiana	Lara Tatiana	Diana Nando	Lara Rubén	Rubén	Catarina Lara	Catarina Margarida	Margarida Tatiana	Filipa Tatiana	No Nominations	No Nominations	Third place (Day 123)
Not in house	Not in house	Not in house	Not in house	Not in house	Not in house	Not in house	Not in house	Filipa Margarida	Catrina Margarida	Catarina Tatiana	Margarida Tatiana	Filipa Tatiana	No Nominations	No Nominations	Evicted (Day 108)
Not in house	Not in house	Not in house	Not in house	Not in house	Not in house	Not in house	Diana Rubén	Catrina Margarida	Margarida Tatiana	Tania	Ricardo B. Tatiana	Tania	No Nominations	Evicted (Day 101)	Evicted (Day 101)
Not in house	Not in house	Not in house	Not in house	Not in house	Not in house	Not in house	Diana Rubén	Tatiana Thiago	Ricardo B. Tatiana	Catarina Ricardo B.	Tania	Nando Ricardo B.	Evicted (Day 94)	Evicted (Day 94)	Evicted (Day 94)
Not in house	Not in house	Not in house	Not in house	Not in house	Not in house	Not in house	Diana Rubén	Tatiana Thiago	Catarina Thiago	Catarina Ricardo B.	Nando Ricardo B.	Evicted (Day 87)	Evicted (Day 87)	Evicted (Day 87)	Evicted (Day 87)
Not in house	Not in house	Not in house	Not in house	Not in house	Not in house	Not in house	Diana Rubén	Tatiana Thiago	Ricardo B. Thiago	Filipa Nando	Evicted (Day 80)	Evicted (Day 80)	Evicted (Day 80)	Evicted (Day 80)	Evicted (Day 80)
No Nominations	Alzira Diana	Carla Lara	Raquel	Diana Lara	Raquel	Diana Nanado	Evicted (Day 45)	Evicted (Day 45)	Margarida Thiago	Evicted (Day 73)	Evicted (Day 73)	Evicted (Day 73)	Evicted (Day 73)	Evicted (Day 73)	Evicted (Day 73)
No Nominations	Fernando Nando	Joel Ricardo B.	Ricardo B. Ricardo M.	Joel Ricardo B.	Nando Ricardo B.	Diana Nando	Nando Rubén	Nando Thiago	Margarida Ricardo B.	Walked (Day 73)	Walked (Day 73)	Walked (Day 73)	Walked (Day 73)	Walked (Day 73)	Walked (Day 73)
