Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
4	November 2	Portland	L 76–90 (OT)	Corey Maggette (16)	Andrew Bogut (9)	Brandon Jennings (7)	Bradley Center 13,087	1–3
5	November 3	@ Boston	L 102–105 (OT)	Andrew Bogut (21)	Andrew Bogut (13)	Carlos Delfino (7)	TD Garden 18,624	1–4
6	November 5	@ Indiana	W 94–90 (OT)	John Salmons (22)	Luc Mbah a Moute (15)	John Salmons (5)	Conseco Fieldhouse 14,115	2–4
7	November 6	New Orleans	L 81–87 (OT)	Andrew Bogut (19)	Andrew Bogut (14)	Brandon Jennings (5)	Bradley Center 16,731	2–5
8	November 9	New York	W 107–80 (OT)	Brandon Jennings (19)	Ersan İlyasova (9)	Brandon Jennings (6)	Bradley Center 13,286	3–5
9	November 10	@ Atlanta	W 108–91 (OT)	Corey Maggette (20)	Drew Gooden , Ersan İlyasova (10)	Earl Boykins (8)	Philips Arena 11,211	4–5
10	November 13	Golden State	W 79–72 (OT)	John Salmons (26)	Andrew Bogut (17)	Brandon Jennings (6)	Bradley Center 17,049	5–5
11	November 16	L.A. Lakers	L 107–118 (OT)	Brandon Jennings (31)	Andrew Bogut (18)	Brandon Jennings , John Salmons (6)	Bradley Center 18,059	5–6
12	November 19	@ Philadelphia	L 79–90 (OT)	Corey Maggette (20)	Drew Gooden , John Salmons (8)	Earl Boykins , Brandon Jennings , John Salmons (4)	Wells Fargo Center 14,557	5–7
13	November 20	Oklahoma City	L 81–82 (OT)	Brandon Jennings (25)	Drew Gooden (16)	Brandon Jennings (3)	Bradley Center 16,975	5–8
14	November 24	@ Cleveland	L 81–83 (OT)	Keyon Dooling (18)	Drew Gooden , Luc Mbah a Moute (9)	Keyon Dooling (5)	Quicken Loans Arena 20,562	5–9
15	November 26	@ Detroit	L 89–103 (OT)	Brandon Jennings (25)	Ersan İlyasova (11)	Brandon Jennings (6)	The Palace of Auburn Hills 17,133	5–10
