Player	Result	Appeared	RR W–L	RR W Rate
Victoria Azarenka	F:11 SF:12 RR:09,10,13	5	07–08	0.47
Marion Bartoli	RR:07,11(A)	2	02–01	0.67
Jennifer Capriati	SF:03	1	02–01	0.67
Anna Chakvetadze	SF:07	1	02-01	0.67
Kim Clijsters	W:03,10 SF:06 RR:05	4	08–04	0.67
Lindsay Davenport	SF:05 RR:04	2	04-02	0.67
Elena Dementieva	SF:08 RR:03-06,09,10	7	05–16	0.24
Sara Errani	RR:12,13	2	02-04	0.33
Daniela Hantuchová	RR:07	1	01–02	0.33
Justine Henin	W:06,07 SF:03	3	07-02	0.78
Martina Hingis	RR:06	1	01–02	0.33
Ana Ivanovic	SF:07 RR:08	2	02-03	0.4
Jelena Janković	SF:08,09,13 RR:07,10	5	05-10	0.33
Angelique Kerber	RR:12,13	2	01-05	0.17
Svetlana Kuznetsova	RR:04,06-09	5	03–12	0.2
Petra Kvitová	W:11 SF: 13 RR:12	3	05-02	0.71
Li Na	F:13 RR:11,12	3	05-04	0.56
Amélie Mauresmo	W:05 F:03,06 SF:04	4	09-03	0.75
Anastasia Myskina	SF:04 RR:03	2	03–03	0.5
Nadia Petrova	RR:05,06,08(A)	3	02-05	0.29
Mary Pierce	F:05	1	03–00	1
Agnieszka Radwańska	SF:12 RR:08(A),09(A),11,13	5	05-06	0.45
Chanda Rubin	RR:03	1	01–02	0.33
Dinara Safina	RR:08,09	2	00–04	0
Francesca Schiavone	RR:10	1	01–02	0.33
Patty Schnyder	RR:05	1	01-02	0.33
Maria Sharapova	W:04 F:07,12 SF:05,06 RR:11	6	13-04	0.76
Samantha Stosur	SF:10,11 RR:12(A)	3	04-04	0.5
Ai Sugiyama	RR:03	1	01-02	0.33
Serena Williams	W:09,12,13 F:04 RR:07,08	6	12-03	0.80
Venus Williams	W:08 F:09	2	04-02	0.67
Caroline Wozniacki	F:10 SF:09 RR:11	3	05-04	0.56
Vera Zvonareva	F:08 SF:10,11 RR:04,09(A)	5	07-06	0.54
