Week	Date	Opponent	Result	Attendance
1	September 3, 1995	San Francisco 49ers	L 24-22	66,627
2	September 10, 1995	at St. Louis Rams	L 17-13	59,335
3	September 17, 1995	Atlanta Falcons	L 27-24	57,442
4	September 24, 1995	at New York Giants	L 45-29	72,619
5	October 1, 1995	Philadelphia Eagles	L 15-10	43,938
6	Bye	Bye	Bye	Bye
7	October 15, 1995	Miami Dolphins	W 33-30	55,628
8	October 22, 1995	at Carolina Panthers	L 20-3	55,484
9	October 29, 1995	at San Francisco 49ers	W 11-7	65,272
10	November 5, 1995	St. Louis Rams	W 19-10	43,120
11	November 12, 1995	Indianapolis Colts	W 17-14	44,122
12	November 19, 1995	at Minnesota Vikings	L 43-24	58,108
13	November 26, 1995	Carolina Panthers	W 34-26	39,580
14	December 3, 1995	at New England Patriots	W 31-17	59,876
15	December 10, 1995	at Atlanta Falcons	L 19-14	54,603
16	December 16, 1995	Green Bay Packers	L 34-23	50,132
17	December 24, 1995	at New York Jets	W 12-0	28,885
