#	Title	Publisher	Release	Length	Hardcover	Paperback
1	Dead Until Dark	Ace Books	May 2001 (paperback) January 2008 (hardcover)	291 pp	ISBN 0-441-01597-2	ISBN 0-441-00853-4
2	Living Dead in Dallas	Ace Books	April 2002 (paperback) January 2009 (hardcover)	291 pp	ISBN 0-441-01673-1	ISBN 0-441-00923-9
3	Club Dead	Ace Books	May 2003 (paperback) March 2010 (hardcover)	292 pp	ISBN 0-441-01910-2	ISBN 0-441-01051-2
4	Dead to the World	Ace Hardcover	May 2004 (hardcover) May 2005 (paperback)	291 pp	ISBN 0-441-01167-5	ISBN 0-441-01218-3
5	Dead as a Doornail	Ace Hardcover	May 2005 (hardcover) April 2006 (paperback)	295 pp	ISBN 0-441-01279-5	ISBN 0-441-01333-3
6	Definitely Dead	Ace Hardcover	May 2006 (hardcover) March 2007 (paperback)	324 pp	ISBN 0-441-01400-3	ISBN 0-441-01491-7
7	All Together Dead	Ace Hardcover	May 2007 (hardcover) March 2008 (paperback)	336 pp	ISBN 0-441-01494-1	ISBN 0-441-01581-6
8	From Dead to Worse	Ace Hardcover	May 2008 (hardcover) March 2009 (paperback)	359 pp	ISBN 0-441-01589-1	ISBN 0-441-01701-0
9	Dead and Gone	Ace Hardcover	May 2009 (hardcover) April 2010 (paperback)	312 pp	ISBN 0-441-01715-0	ISBN 0-441-01851-3
10	Dead in the Family	Ace Hardcover	May 2010 (hardcover) March 2011 (paperback)	311 pp	ISBN 0-441-01864-5	ISBN 0-441-02015-1
11	Dead Reckoning	Ace Hardcover	May 2011 (hardcover) March 2012 (paperback)	325 pp	ISBN 0-441-02031-3	ISBN 0-441-02060-7
12	Deadlocked	Ace Hardcover	May 2012 (hardcover) March 2013 (paperback)	336 pp	ISBN 1-937007-44-8	ISBN 0-425-25638-3
13	Dead Ever After	Ace Hardcover	7 May 2013 (hardcover)	352 pp	ISBN 193700788X	ISBN n/a
