Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Clitheroe	38	14	4	61	30	+31	54
2	Congleton Town	38	10	6	51	29	+22	54
3	Eastwood Hanley	38	9	7	68	45	+23	53
4	Stalybridge Celtic	38	10	7	62	39	+23	52
5	Fleetwood Town	38	10	7	70	34	+36	50 2
6	Irlam Town	38	14	8	66	45	+21	46
7	Leek Town	38	6	12	64	44	+20	46
8	Curzon Ashton	38	9	11	52	50	+2	45
9	Burscough	38	10	13	45	35	+10	40
10	St Helens Town	38	8	15	65	55	+10	38
11	Accrington Stanley	38	11	14	62	60	+2	37
12	Leyland Motors	38	8	17	62	67	−5	34
13	Winsford United	38	6	18	55	68	−13	34
14	Radcliffe Borough	38	9	17	48	49	−1	33
15	Bootle	38	7	20	46	54	−8	29
16	Penrith	38	8	21	46	63	−17	26
17	Netherfield	38	10	20	38	76	−38	26
18	Glossop	38	10	21	37	69	−32	24
19	Prescot Cables	38	9	24	33	68	−35	19
20	Formby	38	8	25	35	86	−51	18
