Island	Location	Area ( ha )	Population	Height (m)
Balta	North Isles	80	0	44
Bigga	Yell Sound	78	0	34
Bressay	East of Lerwick	2805	368	226
Brother Isle	Yell Sound	40	0	25
Bruray	Out Skerries	55	24	53
East Burra	Scalloway Islands	515	76	81
Fair Isle	Outlier	768	68	217
Fetlar	North Isles	4078	61	158
Foula	Outlier	1265	38	418
Hascosay	Colgrave Sound, Yell	275	0	30
Hildasay	Scalloway Islands	108	0	32
Housay	Out Skerries	163	50	53
Lamba	Yell Sound	43	0	35
Linga near Muckle Roe	Swarbacks Minn	70	0	69
Linga	Bluemull Sound, Yell	45	0	26
Mainland	Mainland	96879	18765	450
Mousa	East of Mainland	180	0	55
Muckle Roe	Swarbacks Minn	1773	130	267
Noss	Bressay	343	0	181
Oxna	Scalloway Islands	68	0	38
Papa	Scalloway Islands	59	0	32
Papa Little	Swarbacks Minn	226	0	82
Papa Stour	St Magnus Bay	828	15	87
Samphrey	Yell Sound	66	0	29
South Havra	Scalloway Islands	59	0	42
Trondra	Scalloway Islands	275	135	60
Unst	North Isles	12068	632	284
Uyea, Northmavine	North Mainland	45	0	70
Uyea, Unst	North Isles	205	0	50
Vaila	Gruting Voe	327	2	95
Vementry	Swarbacks Minn	370	0	90
West Burra	Scalloway Islands	743	776	65
West Linga	Whalsay	125	0	52
Whalsay	Whalsay	1970	1061	119
Yell	North Isles	21211	966	210
